tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
508129,AYŞEGÜL KALYON,2018,Tip 2 diabetes mellitus hastalarında serum endokan ve ADMA düzeylerinin saptanması ve diyabetin komplikasyonları ile ilişkisinin belirlenmesi<br><span style='font-style: italic';>Determination of serum endocan and ADMA levels in patients with type 2 diabetes mellitus and determination of their association with diabetic complications,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('vstzlbJWUmh-iWCAhmqQeQ','pjXuG5QiuPDmUiDC5W8gpQ')"
358966,MUSTAFA GÜRKAN HAYTAOĞLU,2014,Tiroid nodüllerinden ince iğne aspirasyon biyopsisi yapılan olgularda nodül içi ve serum VEGF (Vascular endothelial growth factor) ve VEGFR-1 (Vascular endothelial growth factor receptor-1) düzeylerinin araştırılması<br><span style='font-style: italic';>The investigation of the levels of VEGF (Vascular endothelial growth factor) and VEGFR-1 (Vascular endothelial growth factor receptor-1)  in serum and   nodule   in the cases which have been undergone a fine-needle aspiration biopsy from tyhroid nodules,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('rqjQjl3aHNd36HJLvFvBiQ','4iA3tuU6ycUKusbf-Zo77Q')"
502352,ELİF KAHRAMAN GÜNER,2018,"Kolorektal kanserli hastalarda EPCAM (epidermal celladezyon molekülü) ve VCAM-1 (vasküler cell adezyonmolekülü) seviyelerinin klinik öneminindeğerlendirilmesi<br><span style='font-style: italic';>Evaluation of clinical trials of EPCAM (epidermal celladhesive molecular) and VCAM-1 (vascular cell adhesive molecular) levels in patients with colorectal cancer,",Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('-txJL8l7Sb3xtPDr_64AAQ','GiLZhlzuXncvrPezuiokkg')"
447191,SERDAR BİZ,2016,"Kronik otitis media cerrahisinde preoperatif, peroperatif özellikler ve postoperatif sonuçların nötrofil lenfosit oranı ile analizi,<br><span style='font-style: italic';>Analysis of preoperative and peroperative features and postoperative outcomes with neutrophil to lymphocyte ratio, in chronic otitis media surgery,",Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('SyKLFBQCT4hK3owjIxcSqA','66ccSmZJHHIVcn0XNxHzOA')"
447189,RAŞAN EYÜP,2016,JAR ve JEG-3 koryokarsinom insan hücre kültüründe topotekan ve folik asit etkisinin incelenmesi<br><span style='font-style: italic';>The examination of the effects of topotecan and folic acid on JAR and JEG-3 choriocarcinoma human cell culture,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('JCo2Wrh999p-lDydgGIhqA','dxfn4Vpep8HXlzf30prDXg')"
358965,DERYA ÇAKIR ERDOĞAN,2013,Genişlemiş spektrumlu beta-laktamaz üreten Escherichia coli ve Klebsiella spp.\'nin toplum taşıyıcılığı sıklığının ve enzim tiplerinin araştırılması<br><span style='font-style: italic';>Prevelance of the carriage of Extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella spp.in the community and investigating the types of enzymes,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('rsumM36Mfc3ldHLtKXj3wg','ki4pNIVw6W0Xfq2Ox_r6Rg')"
374875,TUĞÇEM KESKİN,2014,Akut viral bronşiyolitli hastalarda kısa etkili beta agonistler ile kombine veya tek başına nebulize hipertonik salinin etkinliğinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the effectiveneses of nebulised hypertonic saline alone and in combination with short effected beta agonists in the treatment of acute viral bronchiolitis,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('CD0VP3yzi4UIfvNqFQbIQA','fT1DyHhVMOILJZb36APpkg')"
351275,CEM KORAY FIRAT,2013,Akut viral bronşiolitli hastalarda D vitamini düzeyi ve D vitamini reseptör gen polimorfizmi<br><span style='font-style: italic';>Vitamin D levels and vitamin D receptor gene polymorphisms in patients with acute viral bronchiolitis,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('bT7olChQkygbE_P6zjgsXw','vzPMTchKQ0WxuCuErylUTQ')"
487308,MEHMET MALİK BEREKET,2017,İnfraklavikular blok uygulamalarında blok değerlendirmesinde perfüzyon indeksi ve USG<br><span style='font-style: italic';>Perfusion index and USG for block assessment after infraclavicular block administration,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('SKg2Nd0IyeSDS3yYjgjMIQ','8R3XRhlIiC5c9aaa6Xj_pg')"
374873,SEVİM AYDINLI,2014,Septorinoplastide Türk lokumu uygulamasinda bakteriyel selüloz ile fasyanin karşılaştırılması: Deneysel hayvan çalışması<br><span style='font-style: italic';>The comparison of bacterial cellulose and fascia in the application of Turkish delight in septorhinoplasty: Experimental animal in,Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('8Q52v8kQIkj6HuZNLeHb7w','cN-DxEML6a7q32JxFrZDMg')"
