tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
306094,SELMA UÇAR,2010,Allerjik kontakt dermatitli hastalarda yapılan yama testi sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the patch test results in patients with allergic contact dermatitis,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('4Z1N12cCQ-HoENTkKpKrbg','Mnrb_0YkFRs-QMOEMWH9ww')"
386683,FERHAT SEZER,2014,Ailevi Akdeniz ateşi hastalarında renal hemodinamik değişikliklerin renkli Doppler ultrasonografi ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of in renal hemodynamics changes in familial Mediterranean fever with color doppler sonography,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('FfnU53DLuT4J8uioIuaGPw','JTlzZ46RizQf10i07SVQRQ')"
132408,NEVİN MUTLU,2003,"Atipik pnömonilerde klinik, serolojik, rutin laboratuvar ve radyolojik değerlendirme<br><span style='font-style: italic';>Cilinical, serological, laboratory and radiological appraising in atypical pneumonias",Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('THwXwX4F_raBjHsKGae5MQ','grFHIHl-2ZkT-qDjm6u_jw')"
508503,MAHMUT BİRDEN,2018,Macintosh laringoskop ya da video laringoskop kullanılan beden kitle indeksi 35 kg/m²\'nin üzerinde olan hastalardaki hemodinamik parametrelerin değerlendirilmesi<br><span style='font-style: italic';>Assessment of haemodynamic parameters in patients with body mass index greater than 35 kg / m² using a macintosh laryngoscope or video laryngoscope,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('oOj1kuNcQpVDnMvH9eKqLQ','wGAA2e0_fdP6-Aovw6SZ7w')"
118647,AHMET AYGEN,2002,Psödoeksfoliyasyon sendromunda optik sinir başı topografisi ve görme alanı korelasyonu<br><span style='font-style: italic';>Optic nerve head topography and visual field correlation in pseudoexfoliation syndrome,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('6FJYjGPlYLnzcw0bBD-loQ','owcQ93754d-NpZ_kn82ZKQ')"
132409,İLHAN MURAT,2003,Kronik obstrüktif akciğer hastalığında (KOAH) mikroalbüminüri ve kardiyovasküler risk faktörleri ile ilişkisi<br><span style='font-style: italic';>Microalbuminuria in chronic obstructive pulmonary disease (COPD) and it is relationship with the cardiovascular risc factors,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('ArCDUGYOzcl8CfDKSUnL7w','jEL4VhMnz5wG-nLLyXSM9A')"
157061,HASAN ÇAYIR,2004,Kangal Balıklı Kaplıca\'da psoriasis tedavisinin etkinliği ve psikolojik değişimler<br><span style='font-style: italic';>The effectivity of psoriasis treatment in Kangal Balıklı Kaplıca and psychological change,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('7dhmzbNBXr4DojYULzziOA','AscORXxVLJbUnmTgDzMafw')"
132452,KEMAL KAYA,2003,Renal hücreli kanserli hastaların tanı ve değerlendirilmesinde üriner NMP22 testinin önemi<br><span style='font-style: italic';>,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('7TCx5URA3TyDPw6kQbgLNQ','3yg3MGtV6u6-mhZ4NRGTuA')"
352739,ŞEYDA ÇEVİK,2013,Glioblastom ve nöroblastom invitro hücre kültürlerinde antiepileptiklerin mitotik proliferasyon üzerine etkileri<br><span style='font-style: italic';>Effects of antiepileptics on mitotic proliferation at in vitro cell cultures of glioblastoma and neuroblastoma,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('WFjziSc6Vlk8ODE_sFvr1A','vT5FQjfHrmS_CkG5DapBhg')"
352780,CAFER SARPDAĞ,2013,"Spinal anestezi altında transüretral rezeksiyon  uygulanan hastaların intraoperatif, hemodinamik ve EKG de QT değişikliklerinin preoperatif değerler ile karşılaştırılması    karşılaştırılması<br><span style='font-style: italic';>The comparison of intraoperative and preoperative hemodynamic and QT interval changings in tur patients under spinal anesthesia",Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ZwNPM1q7vj2U1EKp4v5N3w','G1iT5EX5R186uXwbA_VZPA')"
132410,HASAN DÜZENLİ,2003,"Uzun süreli oksijen tedavisi (USOT) endikasyonu konulmuş kronik solunum yetmezlikli olguların değerlendirilmesi: yaşam süresi, yaşam kalitesi, pulmoner fonksiyonlara etkisi ve tedaviye uyumu<br><span style='font-style: italic';>The evaluation of the patients with chronic respiratory failure (CRF) which offered long-term oxygen therapy (LTOT): the effect of LTOT on survey pulmonary functions and quality of life patients with CRF",Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('l8rmK1ERoxM2_jQK7WQkyw','PIeaOYHiWJcLpvolf_-IeQ')"
196131,AYSEL YAĞMUROĞLU,2007,Kan transfüzyonunda viral enfeksiyon etkenlerinden korunmada serum neopterin tespitinin etkisi<br><span style='font-style: italic';>Contribution of determining serum neopterin to avoid from viral infection agents in blood transfusion,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('q6zs_pOKWxhdjgM_uymxAw','sloryv58lj9B1vSv4MNyjg')"
91347,RECAİ DAĞLI,2000,"Sevofluran, isofluran ve propofolün tiroid fonksiyonlarına etkileri<br><span style='font-style: italic';>Effects of sevoflurane, isoflurane and propofol on thyroid function",Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('c3laCeD--Q8CYuvuHbxXnQ','c3laCeD--Q8CYuvuHbxXnQ')"
306076,VOLKAN GÜNEYLİ,2010,Arter tamirinde histoakril kullanımı<br><span style='font-style: italic';>The using of histoacryl at artery mending,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('dqkhy2duFt0xN3jwQX-G6A','VJ0PAV7Bi3z1wJegT0TzVg')"
91349,HÜSEYİN GÖKGÖZ,2000,Hasta kontrollü analjezide Tramadol\'ün intravenöz ve epidural etkinliğinin karşılaştırılması<br><span style='font-style: italic';>The Comparison of intravenous and epidural efficiencies of tramadol in patient controlled analgesia,Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('sql3FVRJqQY5E0pSHk3vrQ','sql3FVRJqQY5E0pSHk3vrQ')"
493383,FATİH KILIÇ,2017,"Abdomen cerrahisi geçiren hastalarda düşük ve yüksek akımlı anestezi yöntemlerinin peroperatif hemodinami, anestezi derinliği ve postoperatif derlenme üzerine etkilerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effects of low and high flow anesthesia methods on peroperative hemodynamics, depth of anesthesia and postoperative recovery in patients undergoing abdominal surgery",Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('gF69qYMBZV7Jk93Io2sgTw','ohUOSQz7TsY6BAwYrue54Q')"
