tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
539616,GİZEM KORKUT,2019,Endoskopik ultrasonografi (EUS) eşliğinde takip edilen gastrointestinal subepitelyal lezyonların değerlendirilmesi; tek merkez deneyimi<br><span style='font-style: italic';>Evaluation of gastrointestinal subepithelial lesions followed by endoscopic ultrasonography (EUS); single center experience,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('nbRAF-z7qW1Jo1YVcdJOoQ','06YMfnlB1cBiNhPRo1DnJw')"
424568,NECATİ BATURALP GÜNER,2016,"Medtronics endurant endovasküler stent greft kullanılarak abdominal aort anevrizması onarımı yapılan hastalarda cihaza ait IFU kriterleri ölçütünde tedavi etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Evaluating the treatment efficiency in endovascular aneurysmal repair (EVAR), does IFU criteria, iliac fixation lenght and certain anatomic differences affect the endoleak rates, aneurymal sac enlargement and reintervention rates",Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('bBEnkD-ppn0i8pUe4QrayQ','IjfFnS5zeZeDwnE41FdYzw')"
609778,ESRA TEHMEN,2019,"Tıpta uzmanlık öğrencilerinin akademik erteleme davranışlarının anksiyete, depresyon ve diğer faktörlerle ilişkisi<br><span style='font-style: italic';>The relationship between academic procrastination behaviors of medical specialization students with anxiety, depression and the other factors",Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('rpPjLgZuI-Hb1W_fdB2HJw','8zH4Bo6cKdb13YkJX8uUGA')"
328923,GÖZDE KARKA,2013,Dokuz Eylül Üniversitesi Tıp Fakültesi hastanesi ameliyathane çalışanlarının burun ve el floralarında Staphylococcus aureus taşıyıcılığı<br><span style='font-style: italic';>Staphylococcus aureus carriage of the operating room staff?s hand and nasal flora at dokuz Eylül Üniversity school of medicine hospital,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('Em2qDIiZbMQ5ELGHLrE9qw','PjHtJ-F3vIZ4drXMDr-Jiw')"
340734,BERRİN YAVUZTÜRK,2013,Dokuz Eylül Hastanesi Acil Serviste varfarin kullanımına bağlı İNR yüksekliği olan hastalara yaklaşım: Bir yıllık geriye dönük tarama<br><span style='font-style: italic';>The approach to the patients who high level of INR due to treatment of warfarin in Dokuz Eylül University Faculty of Medicine Emergency Medicine Department: One year retrospective screening,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('GAyb3rsD3Do2j5tZca281g','D-2KAWazPZho50F_IwM9Mg')"
674033,TANER BUĞRA TAN,2021,Şizofreni hastalarına uygulanan ve hasta yakınlarının gözlemlerinin de değerlendirildiği yapısal düşünce bozukluğu ölçeğinin Türkçe güvenilirlik ve geçerlilik çalışması<br><span style='font-style: italic';>Turkish reliability and validity study of formal thought disorder applied to patients with schizophrenia and which the observations of the patients\' relatives are evaluated also,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('vAjAtNPJdFEUfVRGHNZizA','rRGSb2Kz5TOqlwdkAI5MgA')"
532185,GÖLGEM ÇETİN DORA,2017,Üst ve alt temporal ven oklüzyonlu olguların intravitreal anti-vegf tedaviye yanıt açısından karşılaştırılması<br><span style='font-style: italic';>Comparison of anti-vegf treatment response in patients with superior and inferior temporal vein occlusion,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('A8YE_21aPacUjjNg--6xdA','04wH2PMNt9gHj06CQ-DUAw')"
673739,ELİF DEMET KARANFİL,2021,Dokuz Eylül Üniversitesi Tıp Fakültesi Adli Tıp Anabilim dalınca iş kazası nedeniyle 2016-2020 yılları arasında değerlendirilen olguların retrospektif olarak incelenmesi<br><span style='font-style: italic';>Occupational accident series from the department of forensic medicine of Dokuz Eylul University Medical Faculty: A five years retrospective study (2016-2020),Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('dv4FEKpOav9v36Rp0WKw1w','lg7x32vW_uvnYlnDGkSXRw')"
652466,BANU ÇİÇEK UVAÇİN,2020,18-45 yaş bireylerde karbon monoksit düzeyi ile gündüz uykululuğu arasındaki ilişkinin saptanması<br><span style='font-style: italic';>Determination of the relationship between carbon monoxide level and dayti̇me sleepi̇ness in individuals aged 18-45,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('aaszrFpyP9cW8krb5slg-Q','jDUcgAC-hy-4bDJbbH1WQg')"
594935,ZEYNEP TOKEL,2019,Serebral palsili çocuklarda kinezyolojik bantlamanın el fonksiyonlarına etkisi<br><span style='font-style: italic';>Investigating the effect of kinesiotaping on hand  functions in children with cerebral palsy,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('8C-Wy77AKPAnQSRtYSr3DA','wHyreIhGWz2dLY0gMamt_w')"
328929,SEVCAN BAKİ BASKIN,2013,Acil serviste kan gazı alımında heparinlenmiş insülin enjektörü ile koruma kapaklı kan gazı enjektörü kullanımının karşılaştırılması (randomize kontrollü çalışma)<br><span style='font-style: italic';>Comparing the use of heparinized insulin syringe with safety-engineered blood gas syringe for blood gas sampling in emergency department: Randomized controlled trial,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('-Kf9H_pMSt7Te7OoWEYTyw','RR0Dp1bwXwfdiDuNm9QUhw')"
342099,CEREN EVCEN JANBAKHISHOV,2013,"Gebelerde anksiyete, depresyon, yetişkin bağlanma özellikleri, prenatal bağlanma düzeyleri ve fetusun intrauterin iyilik hali ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Association between fetal inutero wellness and anxiety, depression, adulthood attachment features, prenatal attachment during pregnancy",Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('AMoIoZhye22EGiRon7pPEg','4-RbEsAkwxj_tZlGhz0qgg')"
524680,HÜSNÜ HACI,2018,Farelerde ultraviyole-B ışını ile geliştirilen deri karsinogenezi modelinde oral ve topikal skualen uygulamalarının profilaktik etkisinin araştırılması<br><span style='font-style: italic';>Investigation of the prophylactic effect of oral and topical squalene administration in A skin carcinogenesis model developed by ultraviolet-B radiation in mice,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology ; Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('Ieg883FQXkIT_eYiC_v7QQ','Y8f-uiaEWSR2xd1X8b4n5A')"
651403,DİLAN ŞİRİN,2020,Karaciğer sirozu tanılı hastalarda sarkopeni sıklığı ve prognoza etkisi<br><span style='font-style: italic';>Sarcopenia prevalence and its effect on prognosis in patients with liver cirrhosis,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('3xcBVIU6P-ahqQzaE2xvag','CYyfnbQCH8umvbjZTr_Rsg')"
458244,SÜHEYL ARSLAN,2016,DEÜTF Hastanesi Hematoloji Bilim Dalı\'nda 2005-2015 yılları arasında KLL tanısı almış hastaların sitogenetik / FISH ve klinik verilerinin retrospektif değerlendirilmesi <br><span style='font-style: italic';>Deuth Hospital Hematology in science department of clinical diagnosis between 2005-2015 years retrospective of cytogenetic / fish and clinical data evaluation,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('Dvjdr1CJJG1JLbgPvS5NwQ','Fwzxhbdwhosjm0Qz0QP09g')"
342063,ZEHRA BECEREN,2013,Radikal prostatektomi materyallerinde ekstraprostatik yayılım gösteren olgularda gleason skorlamasının prognostik önemi ve nestin ekspresyonunun ekstraprostatik yayılımı öngörmedeki yeri<br><span style='font-style: italic';>The prognostic significance of gleason score in the cases that show extraprostatic extension and the importance of nestin expression for predicting extraprostatic extension in radical prostatectomy specimens,Dokuz Eylül Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('pqwGLQKWMMv9pFujdCLRSQ','UO2mTxqdu59R8Um9oMrSRw')"
