tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
478061,MUSTAFA SERDAR BÖLÜK,2017,İntradural spinal tümör cerrahisinde intraoperatif nöromonitörizasyon kullanımının sonuç üzerine etkileri<br><span style='font-style: italic';>The effects on the results of the application of intraoperative neuromonitarization techniques during intradural spinal surgery,Ege Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('ZSvDY1Fgig--T_dD5eDFvw','qDu1mwi9PpPqgPJlKBhtNw')"
641631,MEHMET EFE,2019,Acil servise kalp yetmezliği bulguları ile gelen hastaların tanı ve tedavisinde düzeltilmiş karotis akım zamanı ve vena kava indeksin etkinliği<br><span style='font-style: italic';>Effectiveness of corrected carotid flow time and inferior vena cava collapsibility index in diagnosis and treatment of patients presenting to emergency department with heart failure signs,Ege Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('T2GzyBusFY2aHp8XeMh4YA','d2GzZ6bmqlPPOtUvby7aEQ')"
497635,SERTAÇ ÖNCÜ,2017,Ağır ve orta düzey obstrüktif uyku apne sendromu olan hastalarda sürekli pozitif hava yolu basıncı tedavisinin yutma fonksiyonu üzerine etkileri<br><span style='font-style: italic';>Effects of positive airway pressure treatment on swallowing function in patients with moderate and severe obstructive sleep apnea syndrome,Ege Üniversitesi,Tıpta Uzmanlık,Fizyoterapi ve Rehabilitasyon = Physiotherapy and Rehabilitation," onclick=tezDetay('QeFejJBhTPZMwA4_kVVLUg','3OiV9hhoRC6oF2mpHPUMzA')"
641261,AYŞE UYAN ÖNAL,2019,İmmün yetmelikli hastalarda aşı ile korunabilen hastalıklara karşı önerilen aşı programlarının yeterliliğinin retrospektif olarak değerlendirilmesi<br><span style='font-style: italic';>,Ege Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('Zl_Rceo8e0P6xOIKYbNH5Q','PGecAG68TBsOlsilXCrRtw')"
414885,HACER ÖRSDEMİR HORTU,2015,Ailevi akdeniz ateşinde mikrorna\'ların ekisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluating the effects of micrornas on familial mediterranean fever,Ege Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('vYyeYtmSRloYv1QDC74XsQ','nekdMfP00Xk3PrUyL-3rew')"
396191,HAZEL EKİN AKMAZ,2015,Kronik ağrı kabul formu\'nun Türkçe geçerlik ve güvenirlik çalışması<br><span style='font-style: italic';>Validity and reliability of the chronic pain acceptance questionnaire in Turkish,Ege Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('Pxmizj0P2osZhHpwJRP7XQ','BYKVbLz86BFVTGibgq5p9A')"
641637,MELİKE YAŞAR,2019,Karbapenem dirençli klebsiella pneumoniae  suşlarında karbapenemaz varlığının MALDI-TOF MS (matrix assisted laser desorption ionization – time of flight mass spectrometry) ile araştırılması ve real-time PCR yöntemi ile karşılaştırılması<br><span style='font-style: italic';>Investigation of the presence of carbapenemase in carbapenem-resistant klebsiella pneumoniae strains by MALDİ-TOF MS (matrix assisted laser desorption ionization – time of flight mass spectrometry) and comparison with real-time PCR method,Ege Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('9rnubVsrCqTiiUigMlq0QQ','4Q609Guib9E9Hjfbu6uB_Q')"
643840,HATİCE KILIÇ,2020,Kraniosinositoz cerrahisi yapılan olguların geriye dönük değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of patients undergoing craniosynostosis surgery,Ege Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('YYi-2WNZMUXZs4LgwxN3PQ','AIq4uafoaYXWkQ9siX28og')"
334096,ESİN ÖZTÜRK BAŞ,2013,Kritik hastada kan transfüzyonunun  laktat ve santral venöz oksijenasyon değerleri üzerindeki etkileri<br><span style='font-style: italic';>Blood transfusion in critically ill patients and central venous oxygenation effects of lactate values,Ege Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('2vNDMNRDNXyCOyU-80f8nw','CQ9kbA3wms6untD3RmTjSw')"
641886,NESLİHAN DÜZENLİ,2020,Sıçan nöropatik ağrı modelinde siyanokobalamin ve siyanokobalamin+morfin etkilerinin trombospondin 4 doku düzeyi ile ilişkisi<br><span style='font-style: italic';>The relationship of cyanocobalamin and cyanocobalamin+morphin effects with thrombospondin 4 tissue levels in rat neuropathic pain model,Ege Üniversitesi,Tıpta Uzmanlık,Eczacılık ve Farmakoloji = Pharmacy and Pharmacology," onclick=tezDetay('NL1c6vRi1JBCVbzeM0pK-Q','q8rIuf1i-AQtHF36JYFxyg')"
