tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
203489,SEMİH ZEKİ ULUDAĞ,2008,İleri yaş (35 ? 42) polikistik over sendromlu hastalar ile aynı yaş grubu normo-ovulatuar hastaların over rezevlerinin karşılaştırılması<br><span style='font-style: italic';>To compare the ovarian reserve between advanced age women with polcstic ovary sydnrome (35-42) and normoovulatuary women,Erciyes Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('GY7OcG5TCYw0rXSHm7Itng','voU-q3MO7wLW6pY-MRcOnA')"
157060,SİNEM YILDIZ,2004,Psoriazisli hastalarda PUVA ve dar band UVB öncesi ve sonrası plazma ve dokuda adenozin deaminaz düzeyleri<br><span style='font-style: italic';>The Effect of narrow -band phototheraphy and PUVA photochemotheraphy on the activity of adenosine deaminase in the plasma and tissue of patients with psoriasis,Erciyes Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('s-1GinGt9fDXYcA2XSnpmQ','nLtYU9wvki8kDCo8kKJuDg')"
271947,ATİLLA KOÇER,2010,Deneysel rat femur kaynamama modelinde lokal uygulanan simvastatinin etkileri<br><span style='font-style: italic';>The effects of lokally applied simvastatin on the experimental rat femur non-union model,Erciyes Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('QzhhRdFQtZYeOadSh5GFBQ','F_FI1i5Empi47CuaNNU7_Q')"
306262,EBRU AKAY,2012,Safra kesesinin metaplazi-displazi-karsinom sekansında p16 ve p21 immünreaktivitesi<br><span style='font-style: italic';>P16 and p21 immunreaktivity in metaplasia-dysplasia-carcinoma sequence of the gallbladder,Erciyes Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('45mGuypUA-bKc7grsZ5UZw','NiAFcN0SAEafP0Y8Rmbaew')"
118649,TAMER HAYTOĞLU,2002,Primer açık açılı glokomda (PAAG) fotopik elektroretinofrafi negatif yanıtı (PhNR) ve patern elektroretinografi (PERG)<br><span style='font-style: italic';>The photopic ERG negative response (PhNR) and pattern ERG (PERG) in primary open angle glaucoma (POAG),Erciyes Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('jf3LzjUwHnvq0kX6REylpw','a22ra-Z92JLt8MdSF72swg')"
316909,ŞENOL KÖROĞLU,2012,İyot eksikliği ve Guatr saptanan yenidoğan olgularında L-Tiroksin ve L-Tiroksin+iyot tedavisi şemalarının karşılaştırılması.<br><span style='font-style: italic';>Iodine deficiency and goiter detected in patients with neonatal treatment of l-thyroxine and l-thyroxine +iodine comparison charts,Erciyes Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('TwGmAMfmpEQHHv6l7RfKxw','JmkZg6m2MQapl1wZC7LWTw')"
156958,NAİL ERSÖZ,2004,Ratlarda cerulein ile oluşturulan deneysel akut pankreatit modelinde meydana gelen diyafragma disfonksiyonu üzerine ginkgolide B\'nin etkisi<br><span style='font-style: italic';>The aim of this study is to examine the effect of ginkgolide B on the rat diaphragma disfunctions with cerulein induced pancreatitis model,Erciyes Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('ttqyjEGdL_-1wp0ZVMgI8w','ldql4HdOFke6BaS-6HVnqA')"
289016,OĞUZ ÖZEL,2011,Deneysel intervertebral disk dejenerasyonunda emilebilir hücresiz poliglikolik asit tabanlı hyaluronik asit ve otojenik serum ile intervertebral diskin rejenerasyonu<br><span style='font-style: italic';>Regeneration of intervertebral disc by the intradiscal application of resorbable cell-free polyglycolic acid-based hyaluronic acid and otogenic serum in experimental intervertebral disc degeneration,Erciyes Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('7qvZ7NAl0LaciCg84LYIHA','-gHXasFj5Ak6ZFnFRRytMw')"
132454,MEHMET İNCİ,2003,"Sidenafil sitratın ejakülasyon süresine ejakülasyon sonrası penil rijiditeye ve ejakülasyon sonrası ikinci rijid ereksiyon sürecine etkileri<br><span style='font-style: italic';>The effects of sildenafil citrate on ejaculation duration, penile rigidity and postejaculatory penile rigidity",Erciyes Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('OCn990a55OosdPIdqxmWiA','W-h9qg8LOiFd8rDdrNMgHw')"
242524,MEHMET CELALETTİN CİHAN,2009,"Radyoterapi, sisplatinle eszamanlı kemoradyoterapi ve sisplatin bazlı indüksiyon kemoterapisi alan larenks yassı hücreli kanserlerinde ERCC 1 enziminin prediktif değeri<br><span style='font-style: italic';>The predictive role of ercc 1 enzyme in laryngeal squamous cell cancers treated by radiothearpy, cisplatin with concomitant chemoradiotherapy and cisplatin based induction chemotherapy",Erciyes Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('1vst6s7r8cVeSYcCzZpzZg','Yfd1Prytm1waZt-Gj9QmCA')"
54713,AYHAN DOĞUKAN,1996,Yaşlılarda tiroid fonksiyon bozukluğu prevalansı<br><span style='font-style: italic';> ,Erciyes Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('5iOoPpu3gjPwNcnXA_9O_Q','5iOoPpu3gjPwNcnXA_9O_Q')"
91609,SERMİN DİLBER,2000,Hirsutizm tedavisinde diane 35 ve diane 35-finasterid kombinasyonunun karşılaştırılması<br><span style='font-style: italic';>The Comparison of diane with diane 35-finasterid in the treatment of hirsutism,Erciyes Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('YtGStgdtzov5CCT1AJTCsQ','gOjstAxoIQiXSXte2Ob8FQ')"
54808,İRFAN ÖZYAZGAN,1996,Tavşan kulaklarında oluşturulan deneysel donuk tedavisinde defibrotide (CAS 83712-60-1)\'in etkilerinin araştırılması<br><span style='font-style: italic';> ,Erciyes Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('8L6pFNlto4hj2cu-_LS0Ug','8L6pFNlto4hj2cu-_LS0Ug')"
49492,ZAFER BUDAK,1996,Tekrarlayan erken gebelik kayıplarında antifosfolipid sendromunun rolü<br><span style='font-style: italic';> ,Erciyes Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('Zdcfy8J6p8OfFPKkHzeReA','Zdcfy8J6p8OfFPKkHzeReA')"
