tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
523889,SEÇKİN ÖZCAN,2018,Ayak bileği kırığı nedeniyle konservatif veya cerrahi tedavi edilmiş hastalarda sekonder kıkırdak lezyonları ile klinik skorlamaların değerlendirilmesi<br><span style='font-style: italic';>Evaluation of clinical scorings and secondary cartilage lesions in conservatively or surgically treated patients due to ankle fracture,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('zlPL1WZ68QUbiRAGgQL86A','uKkKkt-NMCZUI12YLLxemQ')"
682319,BETÜL SÜMER,2021,"Bruselloz olgularının klinik, laboratuvar bulguları, tedavi sonuçları ve komplikasyon oranlarının retrospektif analizi<br><span style='font-style: italic';>Retrospective analysis of clinical, laboratory findings, treatment results and complication rates of brucellosis cases",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('HmPmpvFEQ2xF_tmE8SSywg','3bNvC4F5r3eJ-5n2smnQZQ')"
669113,NİHAL POLAT,2021,Üst gastrointestinal sistem kanama tanısı ile iç hastalıkları kliniğine yatırılan hastaların genel değerlendirilmesi<br><span style='font-style: italic';>General evaluation of patients who were admitted to internal medicine clinic with upper gastrointestinal bleeding diagnosis,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('GwM3pzBqVSIJp3Si4ARl9A','kOwpDi2OAuS_fp-dzrG6YA')"
654507,FATİH SUBAŞI,2021,Diz ve kalça protezi ameliyatları sonrasında görülen uzamış yara yeri akıntısının venöz tromboemboli profilaksisi yöntemleriyle ilişkisinin karşılaştırmalı analizi<br><span style='font-style: italic';>A comparative analysis of the association between prolonged wound site discharge amd venous thromboembolism prophylaxis methods after hip and knee prosthesis,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('FHygw09OF06W3PGO7Z-wtQ','D_J2RlO6HjImpPwsxJZnrg')"
646005,REMZİYE AYŞENUR NALBANT,2020,Sezaryen operasyonunda anestezi yönteminin melatonin düzeyine etkisi ve postpartum depresyonla ilişkisi<br><span style='font-style: italic';>The effects of anesthetic agents used in cesarian section on melatonin levels and the association with postpartum depression,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('zRJlbLwj9KG0-30WBtWiBQ','fu-aMoEmLenQnH-57n2l8w')"
636237,MEHMET DOĞAN,2020,Erzincan Binali  Yıldırım Üniversitesi Mengücek Gazi Eğitim Araştırma Hastanesi Göğüs Hastalıkları Polikliniğine Gelen KOAH Tanılı Hastaların Serum  YKL-40  ve İskemik Modifiye Albümin Değerlerinin Hipoksi ve  Dispne  İlişkisi<br><span style='font-style: italic';>The Relationship between Hypoxia and Dyspnea between Serum YKL-40 and Ischemic Modified Albumin Values ​​of Patients with COPD who came to Erzincan Binali Yıldırım University Mengücek Gazi Training and Research Hospital Chest Diseases Outpatient Clinic,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('Mig7_RZHvDIrW5jIGZG0AQ','1zthYgy0wDhXw0dwT9auhg')"
674157,ABDULLAH TURAN,2021,Retrograd intrarenal cerrahi (RIRC) yapılan hastalarda üreteral erişim kılıfı kullanımının akut böbrek hasarına etkisinin MIOX (Myo-inositol oxygenase) biyomarkerı ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effect of ureteral access sheet use on acute renal damage in patients undertaking retrograde intrarenal surgery (RIRS) with (MIOX) (Myo-inositol oxygenase) biomarker,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('6dkJQCdcRCUrIBeTBKjJAQ','VIFQ2thaOGNVz54YiMRzmQ')"
523338,HÜLYA TOKLUCU,2018,18-28 yaş polikistik over sendromlu hastalarda kanda irisin seviyesinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the level of irisin in blood in patients aged 18-28 with polycystic ovary syndrome,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('zHQM17xH78GUtGLB0cAPbg','114FHYtVKeoae-WI6wxfkQ')"
626285,ÖMER KIZIL,2020,Yeni tanı diyabetli ve prediyabetli hastalarda tiroid volümü ve karotis intima media kalınlığı arasındaki ilişki<br><span style='font-style: italic';>Relation between thyroid volume and carotis intima media thickness in patients with newly diagnosed diabetes and prediabetes,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('xWp4Bww19YANapIiZwN9iA','LBzg-NZbyP6kx0yxFVbLYQ')"
544704,ŞERİF YURT,2019,İliofemoral akut-subakut derin ven trombüslü hastalarımızda uyguladığımız farmakomekanik tromboliz tedavisinin erken ve orta dönem sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>An assesment of early and mid-term results of patients admitted with an acute-subacute iliofemoral venous thrombosis and treated with pharmacomechanic thrombolozis,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('980j2zrFt-d3M-q6MQJDCg','RgwIFKbDLeomowVDas0cjg')"
