tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
390955,YALÇIN BAŞARAN,2013,"Obez, diyabetik ve sağlıklı bireylerin bağırsak mikrobiyotasının karşılaştırılması<br><span style='font-style: italic';>Comparison of gut microbiota in obese, diabetic and healthy control induviduals",GATA,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('DcxE7IKV9vnnvCsqZXwqkg','GdSUmsqhIpxakha1a2sI0Q')"
391039,HAKAN YEŞİL,2013,Sistemik retinoid tedavisi verilen hastaların tiroid gland ve fonksiyonlarının değerlendirilmesi<br><span style='font-style: italic';>The evaluation of thyroid gland and its functions in patients treated with systemic retinoid treatment,GATA,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('Vgx3AhAsQ6yPMn2Gd7Z7jA','6FMR4zMIWJKZ9KZ5ufLSyw')"
452338,HASAN YASİN SAVURANOĞLU,2015,"Ailesel akdeniz ateşi hastalarında ataklı ve ataksız dönemde endokan, CRP ve HS-CRP seviyelerinin değerlendirilmesi.<br><span style='font-style: italic';>Evaluation of endocan, CRP, HS-CRP levels in familial mediterranean fever patient with attack and attack free periods.",GATA,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('TkWLosGqFL5mhm9xKN3Eug','Ekd04BoF06vTp5ht5AH5cQ')"
452478,FATİH YEŞİLDAL,2015,LC-MS/MS metoduyla steroid ölçümü ve metot validasyonu<br><span style='font-style: italic';>Measurement of steroids by LC-MS/MS and method validation,GATA,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('cw7s4_DFFgd_opCoTzM1Dw','tv30sodBMqVfv-uHUKx4Xw')"
452293,OKTAY DİNER,2015,Üst oblik felci olgularında torsiyon ölçümü ve farklı cerrahi yöntemlerin torsiyona etkisi<br><span style='font-style: italic';>Measurement of torsion in superior oblique palsy cases and effects of different surgical methods on torsion,GATA,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('GT_Bid5N-E67i2tGASZflA','52ycmMH5dzjVnXf-M_AwOQ')"
391000,ABDULVAHAP GAZİ ÜNLÜ,2014,Operasyonel görev yapan askeri personelde travma sonrası stres bozukluğu (TSSB) sıklığını etkileyen faktörler<br><span style='font-style: italic';>Factors that effect the frequency of post-traumatıc stress dısorder (PTSD) ın mılıtary staff who partıcıpates ın martıal operatıons,GATA,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('0n8FJQ1sY8ul_BjFVoX5Zg','_1Nm1Q44xFGjNlR9d4zzVw')"
535925,MURAT BINAR,2015,Obstrüktif uyku apneli hastalarda tedavinin inflamatuar ve antiinflamatuar denge üzerine etkisi<br><span style='font-style: italic';>The effect of treatment on inflammatory-antiinflammatory balance in patients with obstructive sleep apnea,GATA,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('7SFh59DCn51p8xUAOBBjBQ','uPfQ6mbz527yIjYDa6f3VQ')"
601147,HAKAN IŞIK,2013,Torakal sempatektomi operasyonunun kardiyak fonksiyonlar üzerine etkilerininAraştırılması (klinik çalışma)<br><span style='font-style: italic';>Investigation of the effects of thoracic sympathectomy on cardiac functions (clinical study),GATA,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('Pq5qIobkKWq_sQ_uN80v1g','g0-cdIMhYDYJg_mbHS-jSw')"
391012,MUSTAFA ÇAKAR,2013,Yeni tanı hipertansif bireylerde arteryel sertlik parametreleri ile endotelyal disfonksiyon ve inflamasyon belirteçleri arasındaki ilişkilerin araştırılması<br><span style='font-style: italic';>Investigation of the relationship between arterial stiffness and markers of endothelial dysfunction and inflammation in newly diagnosed hypertensive individuals,GATA,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('sjCU0rbW0UBNe2rGeBnTow','x_OeW-pZP5KYHRi9DITNxg')"
390963,EVREN GÖKEŞME,2014,"Erken evre mikozis fungoides tanısı ve mikozis fungoides şüphesi ile takip edilen hastaların, erken evre tanı kriterleri uygulanarak değerlendirilmesi<br><span style='font-style: italic';>Reassasment of patients who has been diagnosed with early stage mycosis fungoides and followed with the suspicious for mf, using diagnostic criteria of early mycosis fungoides",GATA,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('m8UkJ-yVJkSSlppM1CmEKQ','OV8C5BQChBAgP0bAZPZk1w')"
