tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
203707,DURU TABANLIOĞLU,2008,Pigmente bazal hücreli karsinomda dermatoskopik ve histopatolojik özellikler arasındaki korelasyon<br><span style='font-style: italic';>Correlation of dermatoscopic and histopathologic features of pigmented basal cell carcinoma,Hacettepe Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('Qi6Z2iezlt1DZyYrfo2P1w','uMsgKX-e7xez_H9_bPj45g')"
157059,MELTEM AYHAN,2004,Yenidoğan derilerinde malassezia kolonizasyonu ve neonatal sefalik püstüloz patogenezindeki rolünün değerlendirilmesi<br><span style='font-style: italic';>Colonization of neonate skin by malassezia species: factors affecting the colonization and relationship with neonatal cephalic pustulosis,Hacettepe Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('kdhtyqeXBWMdph1fBD64TQ','HHpLgNCY5sDi2DfP9VdpSA')"
248151,NURHAN ERDOĞAN,2009,Total abdominal histerektomi olgularında ultrason tekniği eşliğinde yapılan transversus abdominis düzlem bloğunun postoperatif analjezi etkinliği.<br><span style='font-style: italic';>Total abdominal histerektomi olgularında ultrason tekniği eşliğinde yapılan transversus abdominis düzlem bloğunun postoperatif analjezi etkinliği.,Hacettepe Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('tnmrbQqwYnNWcIq7b_iRMQ','KaIPEjD2grbydwARdKFxuQ')"
203142,BÜNYAMİN KISACIK,2007,"Ailesel akdeniz ateşi atak ve ataksız dönemde yeni iki inflamatuar belirteç resistin ve visfatin seviyelerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of two new inflammatory markers, resistin and visfatin levels, in familial mediterrenean fever at attack and attack-free period",Hacettepe Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('izeoSflUbO5cHUlU4oauzQ','74Ofr0owzvPwVqvpmZJAqQ')"
272088,ŞEREF SELÇUK KILIÇ,2011,Perfore apandisit nedeniyle ameliyat edilen çocuklarda açık ve kapalı drenaj sistemlerinin cerrahi alan enfeksiyon hızına etkisinin karşılaştırılması<br><span style='font-style: italic';>Comparison of open and closed drainage systems? effect on SSI incidence in children operated for perforated appendicitis,Hacettepe Üniversitesi,Tıpta Uzmanlık,Çocuk Cerrahisi = Pediatric Surgery," onclick=tezDetay('j_os2BGrTUL_sTBDPDTP3Q','fmEZug4Yg6oE3GQXaCOWdg')"
132473,CEM ÖZTÜRKMEN,2003,Ciddi mekanik glob yaralanması olan olgularda demografik özellikler ve düşük görme keskinliği ile ilişkili faktörler<br><span style='font-style: italic';>Demographic features of severe mechanical eye injury cases and associated of low visval outcome,Hacettepe Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('YzNEP8k1Jy7eqKhY02qX-g','nakOI3h8AteqF8kbsKhQDg')"
118702,GÜLESER KILIÇ,2002,Periostun korunmasının tavşan maksiller sinüs mukoza rejenerasyonundaki yeri<br><span style='font-style: italic';>The role of protection of periosteum in the rabbit maxillary sinus mucosa regeneration,Hacettepe Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('PkDNmqV-OIjU2wW0JdNbcg','BCF5t9bCtF2MyorIluvK8w')"
118703,DENİZ HANCI,2002,1964-2001 yıllar arasında yapılan stapedektomi ameliyat sonuçları<br><span style='font-style: italic';> ,Hacettepe Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('wUhYA6cJFxvzlL24EGv8Fw','Z6US4zKNuQMbjb8RB4csKA')"
132474,BARIŞ SÖNMEZ,2003,"Doğumsal restriktif şaşılıkların klinik özellikleri ve cerrahi tedavi yöntemlerinin analizi<br><span style='font-style: italic';>Clinical features and treatment modalities of congenital restrictive strabismus, thesis in ophthalmology",Hacettepe Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('XiuV_cAIVWcpWklhAXbgKA','h0-bxyM0bfaRSQ7uBiIDRg')"
266682,FATMA ÜMİT MALYA,2010,Rektal prolapsus nedeniyle ameliyat edilen hastalarda anorektal fonksiyonların ve yaşam kalitesinin değerlendirilmesi<br><span style='font-style: italic';>Determination of anorectal functions and quality of life in patients operated for rectal prolapsus,Hacettepe Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('Ahx0pPEyKDr0WL_ZoLMM7Q','jsL_JCc7d-LDkWXjk3bK7A')"
248132,DİDEM ARMANGİL,2009,Yenidoğanın geçici takipnesinde inhale salbutamol tedavisinin etkinliğinin araştırılması<br><span style='font-style: italic';>Effect of inhaled salbutamol for the treatment of transient tachypnea of the newborn,Hacettepe Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ZqMiPsbxJg_Yejmad5EeBw','kMYnQChO_FNnKukUZBVz1g')"
309947,NAZIM BARIŞ KANAT,2012,Ele gelmeyen meme lezyonlarının cerrahi öncesi lokalizasyonunda tel ve radyoaktif madde ile işaretleme (Roll) yöntemlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the radioguided occult lesion localization (Roll) and wire guided localization (wgl) methods in the preoperative localization of non-palpable breast lesions,Hacettepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('Tsi6UeThf_d44bSs7bTHMw','UXMim3PQ9GB6THSzZp-Nbw')"
653185,RUŞEN MELİH NEBİGİL,1989,Koroner bypass cerrahisinde görülen koroner arter spazmının etyolojisinde \'Endothelin-1\'in  rolü ve tedavisinde bazı vazodilatör ajanlarının etkilerinin invitro olarak gösterilmesi<br><span style='font-style: italic';>,Hacettepe Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('44fuZR0cH75tDiyToGvP7Q','qQPdxTxt7ZV-Mp2fXlgc4A')"
156935,BURÇİN BULUR,2004,Yardımcı üreme teknikleri ve doğal konsepsiyon ile doğan çocuklarda oftalmolojik muayene bulgularının değerlendirilmesi ve karşılaştırılması<br><span style='font-style: italic';>Evaluation and comparison of ophthalmological findings in children conceived with assisted reproduction techniques and with natural conception,Hacettepe Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('PZkVI9mEv4em4L44OWnuKQ','g-DfHpi9QeVqR7pL5zjszg')"
266702,ZAFER ÇİMŞİR,2010,Günübirlik jinekolojik laparoskopide postoperatif ketamin ve parasetamolün analjezik etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparing analgesic effects of ketamine and paracetamol in ambulatory gynecologic laparoscopic surgery,Hacettepe Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('tSX8_nD9uaNB6OGQT7R0xg','hqqlUY9XPwwpCndpspOooA')"
132212,AHMET FEYZİ ABACILAR,2003,Kardiyopulmoner bypass ile myokard revaskülarizasyonu yapılan hastalarda tumor necrosis factor salınımı ve etkileri<br><span style='font-style: italic';>The release of tumor necrosis factor and its possible effects in patients undergoing myocardial revascularization with cardiopulmonary bypass,Hacettepe Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('pOFKPrFJCyiWe_prNGpiNg','kvbxjIj05xi54H389dSMfg')"
156936,M. KORAY GÜMÜŞ,2004,Retinal ven tıkanıklığı olan hastalarda sistemik /trombofilik risk faktörlerinin değerlendirilmesi ve sEPCR(soluble endothelial protein C receptor)seviyesi<br><span style='font-style: italic';>The evaluation of systemic/thrombophilic risk factors in patients with retinal vein occlusion and the level of sEPCR(soluble endothelial protein C receptor),Hacettepe Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('DPDP4fypmtmEG29YXZFYtw','8-0BOUO3HWOlu68zoAPxDA')"
174428,CANER FİDANER,1981,Ebelerin doğum öncesi izlemelerinde izleme yerinin ve uzaklığın etkisi<br><span style='font-style: italic';> ,Hacettepe Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('ehiYgrVge9hzvTMmAhKoig','2nPXYfbTEVohdBDUzJvLeg')"
156937,ZEYNEP DADACI,2004,"Oküler hipertansiyonlu hastalarda görme alanı, retina sinir lifi analizi ve santral kornea kalınlık ölçüm özellikleri<br><span style='font-style: italic';>Visual field, retinal nerve fiber layer analysis and central corneal thickness measurement properties in patients with ocular hypertension",Hacettepe Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('JIyl6H4PftlBf0dy6gNx8Q','BmIB8nkk4-QUEySQoz4I_A')"
511391,TÜLİN ÖZEREN,1992,Pipekuronyum bromid ve pankuronyum bromidin nöromüsküler ve kardiovasküler etkilerinin karşılaştırılmalı olarak incelenmesi<br><span style='font-style: italic';>A comparative study of neuromuscular and cardiovascular effects of pipecuronium bromide and pancuronium bromide,Hacettepe Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('Z1J3axyV63qGwPL46YF-7w','nLhGFzE9CJbXteuno4zpHg')"
203159,ONUR ERGUN,2007,İntrakranial anevrizmaların endovasküler tedavisinde anevrizma içi iyileşme reaksiyonu oluşturan biyoaktif micrus cerecyte koillerin kullanılması<br><span style='font-style: italic';>Using bioactive micrus cerecyte coils in endovascular treatment of intracranial aneurysms,Hacettepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('NgmZL7FijJRLKv5V7JbcsA','2pNwjVE9Q4Gb5gH_JWPE8g')"
272096,NURGÜL ORHAN,2010,"Fokal hipersteatozun ultrasonografi, bilgisayarlı tomografi ve manyetik rezonans görüntüleme bulguları<br><span style='font-style: italic';>Ultrasonography, computed tomography and magnetic resonance imaging findings of focal hypersteatosis",Hacettepe Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('tSSSYBpxzf0CQt4yreyAuw','eUZvVBZvfRWeFPvNSlLEUA')"
132415,YEŞİM BAYKAL,2003,"Alopesi areatalı hastalarda emosyonel stres, depresyon ve anksiyete düzeyleri ile ilgili bir ön çalışma<br><span style='font-style: italic';>Preliminary study about emotional stress, anxiety and depression levels in patients with alopecia areta",Hacettepe Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('Q4j5oPI-ap82oI3q7NPtPA','-kjQM_Mh436kQzhKREb6vg')"
