tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
627681,HALİL ASLAN,2020,"Yenidoğan asfiksi tanısıyla terapötik hipotermi tedavisini alan bebeklerin demografik özellikleri, MRG bulguları ve AEEG bulgularının retrospektif olarak araştırılması<br><span style='font-style: italic';>Retrospective investigation of demographic characteristics, MRİ findings and AEEG findings of infants treated with therapeutic hypothermia for neonatal asphyxia",Harran Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('E0Y8xgjDWfzgj0JLLdCsBQ','3h42tzMi-PITauXL88Jqig')"
236642,REŞAT DOĞAN,2001,Karaciğer kist hidatiği hastalığında kistin safra yolları ile ilişkisini belirlemede tümör markerları ve biyokimyasal değerlerin katkısı<br><span style='font-style: italic';>The contribution of the tumor markers and the biochemical parameters on the prediction of hydatid disease with cystobiliary communication,Harran Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('_G9sbMZQLyVS-qLHWRj0dw','B1YBsBTG6WRIDhO5ktuyXg')"
311483,İBRAHİM ÜNSAL,2012,Migren ve gerilim tipi baş ağrısı olan hastalarda SF-36 ölçeği ile yaşam kalitesinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the quality of life of patients with migraine and tension-type headache by SF-36 questionnaire,Harran Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('gg4Gio6UyaUqiqWBhuw2jA','9Gk4JtvEPrAPD6Ns9l7qcQ')"
157041,GÖKHAN GÜLEÇ,2004,Alopesia areatada etyolojik faktörler<br><span style='font-style: italic';>To research the factors that take part in etiology and the factors affect prognosis in alopecia areta,Harran Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('KZgk7bzTDATis3s33F7ehw','GfW77f0NIcJWaD-oXz2LJQ')"
247929,GÜLŞAH ETHEMOĞLU,2010,Eksudatif ve transudatif plevral sıvılarda oksidatif ve antioksidatif parametrelerin karşılaştırılması<br><span style='font-style: italic';>Comparison of oxidative and antioxidative parameters in the exudative and transudative pleural effusion,Harran Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('-watSmJQcsB-8Hjp0OnIDA','buDvm-niKWulmqZtH_3afA')"
366160,SEYİTHAN ELÇEOĞLU,2014,Rat overinde oluşturulan iskemi-reperfüzyon modelinde silimarinin koruyucu etkisi<br><span style='font-style: italic';>Protective effect of silymarin on ischemia-reperfusion model that made on rat ovary,Harran Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('WUGSW3iJKLK4YT0ysdupxg','96d_bWqoRMx5KObgdfarcw')"
644503,MEHMET CİHAN İÇLİ,2020,Çölyak tanısı konulan hastalarda eş zamanlı olarak otoimmün hepatit serolojisinin ve sıklığının araştırılması<br><span style='font-style: italic';>Investigation of patients diagnosed with celiac disease which shows simultaniously autoimmune hepatitis serology and i̇ts frequency,Harran Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('qBBkgFudAOpE9JjW4bR5wA','UQ-lU9RSIaciSKqXH5ibdQ')"
288615,MEHMET HÜSEYİN METİNEREN,2010,"Testisin germ hücreli tümörlerinin klinikopatolojik özellikleri ile D2-40, CD 30 ve Alfa Fetoprotein (AFP) primer antikorlarının tanı ve ayırıcı tanıdaki yeri<br><span style='font-style: italic';>Clinicopathologic characteristics of the germ cell tumors of the testis and the importance of D2-40, CD 30 and Alfa Fetoprotein(AFP) primary antibodies in diagnosis and the differantial diagnosis",Harran Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('5bgNC714-Pld_WFgOoXZsg','AQ631NFUD_p2lQxS0S2EWQ')"
195270,MAHMUT ALTUNTAŞ,2007,Polikistik over sendromlu hastalarda vücut kompozisyon karekteristiklerinin metabolik paremetreler ile ilişkisinin incelenmesi<br><span style='font-style: italic';>Evaluation of the relation between body composition characteristics and metabolic parameters in patients with polycystic ovary syndrome,Harran Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('30cuofBM2I2a3TTepaRCKA','Z3pDg44UXB-DWeVx1ic0cA')"
340793,BURCU ÇETİN SEZGİN,2013,Siroz kardiyomiyopatiye neden olabilir mi?<br><span style='font-style: italic';>Can cirrhosis cause cardiomyopathy?,Harran Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('wCeR0AyXJq46Tshi0OHpkQ','ekEEKrB2zSsgJd0_RGhMTA')"
