tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
550811,ENES KERMAN,2019,Ratlarda postmortem mRNA degradasyon düzeylerinin araştırılması ve postmortem interval tayinindeki yeri<br><span style='font-style: italic';>Investigation of postmortem mRNA degradation levels and their importance in postmortem interval estimation in rats,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('MDYv3iMo0kgcFCV0XiCT7g','B-mC9n4YvJ4mFwWtURMj3g')"
586979,DAMLA DEMİR,2019,Hepatit C virüs (HCV) ile infekte hastalarda hepatoselüler karsinoma (HSK) ile ilişkili long Non-coding RNA (LNCRNA)\'ların direk etkili antiviral ajanlar ile tedavi öncesi ve tedavi sonrası ekspresyon seviyelerinin karşılaştırılması<br><span style='font-style: italic';>The comparision of pre-and post-treatment expression levels of hepatocellular carcinoma (HCC) related long Noncoding RNA (LNCRNA) in Hepatitis C virus infectedpatients who have been treated with direct acting antiviral agents,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('wUIxB2FriBtQVZ5dxGr4Jg','eFE_7huEnwFQgAtA5IPjeA')"
651706,ÖZKAN BEKLER,2020,Koroner arter hastalarında efor testi sonrası kan basıncı toparlanma oranı ile syntax skoru arasındaki ilişki<br><span style='font-style: italic';>The relationship between syntax score and blood pressure recovery ratio after exercise test in patients with coronary artery disease,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('F7QzVBGapzZ6EbA1pr9kwQ','zhXlBisrIONr2oXZ1VwoUA')"
674716,EREN BABACAN,2021,Birinci basamak sağlık kuruluşlarına başvuran hastaların geleneksel ve tamamlayıcı tıp ile ilgili tutumu ve kullanım durumları<br><span style='font-style: italic';>Complementary and traditional medicine usage and attitudes of patients in family healthcare centers,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('v0MLjBqUmL_6gvT2W5mrbA','Gdz1oDqabXZy2U4cjbepVA')"
604393,SİNEM PİŞİREN,2019,Pretermlerde perfüzyon indeksinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of perfusion index in preterms,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('b6bO7iA-2TZTjFFEqPI3Vw','5yDRaU8k3f-5-1TykFnhkA')"
690259,ÖZLEM YILMAZ,2021,Emzirme sürecinde babaların desteğinin annelerin emzirme öz-yeterliliğine ve emzirme motivasyonuna etkisi<br><span style='font-style: italic';>The effect of fathers\' support on breastfeeding self-efficacy and breastfeeding motivation of mothers in the breastfeeding process,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('vamtrKluHQBTqemuK8ELcA','TtD1CI7afz3EkLuHur4tEw')"
641404,MUHAMMET HAKAN GEREKLİ,2020,Larinks kanserinde nötrofil lenfosit oranı ve ortalama trombosit hacminin prognostik önemi<br><span style='font-style: italic';>Prognostic importance of neutrophyl lymphocyte ratio and mean platelet volume in LARYNX cancer,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('6QUh00RadrfuuN38dcIVag','L8ht0I2n8vfZr7VMTkT6AA')"
663554,GÖKÇEN ASLAN,2020,Polikistik over sendromunda hepatik fibrozisin shear wave elastografi ile değerlendirilmesi<br><span style='font-style: italic';>Evaluation of hepatic fibrosis in polycstic over syndrome by using shear wave elastography,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('6Jdh3YNf7k4mlkUKGJOk6Q','cbNScpf9T9NHlNuPWx1d-A')"
652659,MUHAMMED ELTAŞ,2020,Akut gastroenteritli çocuklarda dehidratasyon derecesi ile periferik perfüzyon indeksinin ilişkisi<br><span style='font-style: italic';>Relation of dehydration degree with peripheral perfusion indexin children with acute gastroenteritis,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('EdT4eGgRq5FUnGiMQ1Ygmg','rPtP7Xwknhc5rTMZMvuiNg')"
652547,ŞEBNEM TURAN ADIGÜZEL,2020,Diyabetes mellituslu hastalarda ağız ve diş sağlığının diyabet kontrolü ve yaşam kalitesine etkisi<br><span style='font-style: italic';>The effect of oral and dental health on diabetes control and quality of life in patients with diabetes mellitus,Hatay Mustafa Kemal Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('yePKM1nMiAYCFtKaa7EWwQ','5XizSWsE0etVXrT6-sniCg')"
