tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
612653,ZEYNEP YAVUZEKİNCİ,2016,Günübirlik jinekolojik cerrahilerde propofole eklenen fentanil ve remifentanilin sedasyon düzeyleri ve postoperatif erken dönemde kognitif fonksiyon üzerine etkileri<br><span style='font-style: italic';>,Kafkas Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('cNscjoOeWCjNOrI0MB9jXA','F9XJkiehuiF1bFFHf8esMA')"
491761,ŞENDOĞAN ULUSAL,2016,Anizometropik ambliyop hastalarında farklı kapama sürelerinin başarı yönünden kıyaslanması<br><span style='font-style: italic';>Comparision of success rates of different closing durations at anisometropic ambliopia patients,Kafkas Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('tC1GCnNjyZN--y-YDnbmyA','Lm8_oyFfTDneEPdqOgXhRQ')"
622023,CANOZAN BİÇER,2020,Sağlıklı çocuklarda vitamin D reseptör gen polimorfizmleri sıklığı ve 25-hidroksi vitamin D düzeyleri ile ilişkisi<br><span style='font-style: italic';>Frequency of vitamin D receptor gene polymorphisms in healthy children and association with 25-hydroxy vitamin D levels,Kafkas Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('IsC84fCwopr4HM-OMoy8jA','iJaIGCSp7OCjn8yzvXaLag')"
645534,SEDA ÇELİK,2020,"Koroner arter hastalığı\'nda serum FGF-21, irisin, UCP3 ve bazı biyokimyasal parametrelerin önemi<br><span style='font-style: italic';>The importance of serum FGF-21, irisin, UCP3 and some biochemical parameters in coronary artery",Kafkas Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('GkCU-Dp-ewKq5sXD4S9yRA','px9GjQFUJtmnfyxV3jZZHw')"
679506,FUNDA DEMİREL,2021,Obezite polikliniğine başvuran erişkinlerde kan lipid parametreleri ile vücut kompozisyon değerlerinin incelenmesi<br><span style='font-style: italic';>Examination of blood lipid parameters and body composition values in adults applicable to obesity polyclinic,Kafkas Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('D3PZfwk5vQulSVAICbdJpg','GVqzJMzCqJ1ET1JpE8gopA')"
683330,İSMAİL CEM YEŞİLOVA,2021,Toplum kökenli pnömoni nedeniyle hastaneye yatırılan hastalarda akut böbrek yetmezliği gelişim sıklığı ve yatış süresine etkisi<br><span style='font-style: italic';>Impact on the frequency of development and lasting of acute renal failure in patients installed for community acrossed pneumonia,Kafkas Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases ; Nefroloji = Nephrology," onclick=tezDetay('G7v69sd1cXhYpdGD5397KA','LuNZ1xsRPV3UBREGsr_hyQ')"
612620,MEHMET USLU,2017,Kars bölgesindeki idrar yolu enfeksiyonlarının epidemiyolojisi ve antibiyotik dirençleri<br><span style='font-style: italic';>Epidemology of urinary tract infections and antibiotic resistance in the Kars region,Kafkas Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('2aV4ZwD7I_Vp_qVyOYarKw','pTVRW938Wd5MQnXLWtLqSA')"
619404,HACER PAŞAOĞLU YAĞCI,2016,Missed abortuslarda adropin ve nitrik oksit düzeyleri<br><span style='font-style: italic';>,Kafkas Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('z7Y73oHoQOrjl0zMZKpkIQ','P-z5LdRjgd44RSS7Ij4pbQ')"
638612,TUĞBA NUR KUTLU BEŞEREN,2020,"Tekrarlayan muskuloskeletal tutulumlu ailevi akdeniz ateşi olan çocuklarda demografik, ailesel özelliklerin, tanıda gecikme yaşının değerlendirilmesi, klinik labaratuvar ve genetik özelliklerin araştırılması<br><span style='font-style: italic';>Evaluation of the demographic and familial characteristics, age at delayed diagnosis and investigation of other clinical, laboratory and genetic features in children with FMF who had recurrent musculoskeletal involvement",Kafkas Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('GTM6N76-A5U77J4l9V_vVg','xO8cSVH8LcWn0VAgsQTAGg')"
508534,İBRAHİM YAĞCI,2015,Hiperemezis gravidarum tanısı alan gebelerin psikososyal durumlarının incelenmesi<br><span style='font-style: italic';>The evaluation of the pyschosocial status in pregnant women with hyperemesis gravidarum diagnosis,Kafkas Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('m2jY7OsgJuvLDXYiFHX2IA','nS46-Cb2lC8xo51piNb88w')"
