tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
696866,İLHAN ASUDE AKÇA,2021,"Gut hastalığı ile epidermal growth faktör (EGF), ATP binding cassette subfamily G member 2 (ABCDG2), solute carrier family 2 (SLCA2a9), alkol dehidrogenaz 1B (ADH1B), aldehit dehidrojenaz (ALDH2), glucokinase regulator (GCKR) ve IL-18 gen polimorfizmleri arasındaki ilişkilerin araştırılması<br><span style='font-style: italic';>",Karabük Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('yYq6uqFrrJGgNWJFxpkasw','iwSmzrR7bBrIEsW6wqP_2w')"
669681,AHMET ÜLKER,2021,Patella kırıklarının tespiti için tasarlanmış yeni nesil implantın gergi bandı yöntemiyle biyomekanik olarak karşılaştırılması ve sonlu eleman analizi<br><span style='font-style: italic';>Biomechanical comparison of new generation implant designed for fixation of patella fractures with tension band method and finite element analysis,Karabük Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('z8JB7I0sNbpWWpPA4AMR9Q','_VP1id39pFD1IhNTPo6xhQ')"
629976,CANSU YILMAZ,2020,Kronik obstrüktif akciğer hastalarında bronşektazi birlikteliğinin yaşam kalitesi üzerine etkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effect of bronchiectasis on quality of life in chronic obstructive pulmonary patients,Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('9ivzhxJoa3sIRrMkMpTfIw','VN0QGSGwbuH14DXTMgceRQ')"
659485,ELİF NAZLI,2021,Histerektomi olan ve olmayan kadınlarda cinsel yaşam kalitesinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of sexual life quality in women with and without hysterectomy,Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine ; Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('Htq3BKQuAMgUWKkEVLe2Lg','6E99YOpUVPmKhHcpJ8sXNw')"
669634,FEHMİ ALİBEKİROĞLU,2021,COVİD-19 pandemisi sürecinde bir pandemi hastanesindeki Aile hekimliği polikliniğine başvuran hastaların sosyodemografik ve klinik özelliklerinin bir önceki yılın aynı dönemi ile karşılaştırılması<br><span style='font-style: italic';>Comparison of sociodemographic and clinical characteristics of the patients admitted to the family medicine clinic in a pandemic hospital before and after the COVID-19,Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('AbgSOQx2IOWdwrRwBmzfsQ','nnG21OiBpreWSqD-Ax3qKw')"
689645,FAHRİ ÇAKAN,2021,Doksan yaş ve üzeri bireylerde atriyal fibrilasyon<br><span style='font-style: italic';>Atrial fibrillation in individuals 90 years and older,Karabük Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('NMhHxZr51GMJBJ4YUboENg','xA8kPQU0REzHH8cCWGn8qQ')"
669635,NURULLAH USLU,2021,Diyabetik hasta profilimiz ve hemoglobin A1c ile hemogram testindeki inflamatuar belirteçlerin ilişkisi<br><span style='font-style: italic';>Our diabetic patient profile and the relationship between hemoglobin A1c levels and inflammatory markers in the hemogram test,Karabük Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('rKFyEFZAnNkRupns6PHGKA','uxOwvUlXhU2bjFz4AcbEVw')"
675815,EDA TAPSIZ,2021,"Palyatif servisinde yatan hastaların trombosit indekslerinin, platelet-lenfosit oranlarının ve nötrofil-lenfosit oranlarının prognoz ve mortalite üzerine etkisi<br><span style='font-style: italic';>The effect of platelet indexes, platelet-lymphocyte ratios and neutrophil-lymphocyte ratios on prognosis and mortality of patients hospitalized in palliative service",Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('z2Uist0Vvixm3pZL6qfPKw','9VB4YXVxgCQsrmsX0AEubQ')"
696860,PINAR DURMAZ,2021,Ruhsal bozuklukların sistemik lupus eritematozuslu hastalarda görülme sıklığı ve hastalığa ait klinik değişkenler ile karşılaştırılması<br><span style='font-style: italic';>Prevalence of mental disorders in patients with systemic lupus erythematosus and comparison with the clinical variables of the disease,Karabük Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('Ci8Y5sn6dWCt6nESJN6jeA','wGKLyZwM-mBevrncCQBjjg')"
689621,ASLI HİLAL YILMAZ YÜCEL,2021,Aralıklı açlığın gece kan basınç düzeyleri üzerine etkisi<br><span style='font-style: italic';>The effect of intermittent fasting on night time blood pressure values,Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('vYjfehY5JclqV3mjq5YZYQ','MHF-StjOjRix8262mDOG_g')"
653278,TANJU KAYA,2020,Esansiyel hipertansiyon tanılı hastaların ruhsal bozukluklar ve kişilik bozuklukları açısından değerlendirilmesi<br><span style='font-style: italic';>The assessment of patients with essential hypertension in terms of mental disorders and personality disorders,Karabük Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('0jpfBhZhERJoGRLERJ_d7g','KHuUJdqLCrqEQ9gX_oKs5Q')"
653279,CANSU ŞERİFOĞLU,2020,"Karabük Üniversitesi öğrencilerinin cinsel yolla bulaşan hastalıklar, HPV ve HPV aşısı hakkındaki bilgi, tutum ve davranışlarının araştırılması<br><span style='font-style: italic';>Investigation of knowledge, attitudes and behaviors of karabuk university students on sexually transmitted diseases, HPV and HPV vaccine",Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine ; Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('1c3raM3RoCwxGrkx9qwL1A','3JEkChA6sEEkxs3YulvJOQ')"
689624,YUSIF JAFAROV,2021,The importance of vitamin D level in colon cancer patients<br><span style='font-style: italic';>Kolon kanserli hastalarda vitamin D düzeyinin önemi,Karabük Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('2giLKLUDkMucnpPcbLKhtg','qrXS6t1gR7jUlLowMb2xYg')"
907383,KEVSER YILMAZ KÜLEKÇİ,2024,Aile hekimliğine başvuran 18 – 65 yaş arası bireylerde fiziksel aktivite düzeyi ve yaşam kalitesi arasındaki ilişki<br><span style='font-style: italic';>Relationship between physical activity level and quality of life in individuals between 18 and 65 years of age applying to family medicine,Karabük Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('b9zsDTvqdovIVt_YjMUm3g','YXxpUy09dXyOevu9QyCs-g')"
899706,UFUK BOZKURT,2024,Retrograd intrarenal cerrahi\'nin akut enflamatuvar biyobelirteçler ve presepsin üzerine etkisi<br><span style='font-style: italic';>The effect of retrograde intrarenal surgery on acute inflammatory biomarkers and presepsin,Karabük Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('xlahqE1zRn3av7uzJgfHhQ','tC9SLIBiBsh3GAMd6Ixueg')"
774219,AHMET TEZCE,2022,Karpal tünel sendromu tanısında dijital dallarda median sinir duyu iletim testlerinin duyarlılığı<br><span style='font-style: italic';>Sensitivity of median nerve sensor conduction tests in digital branches in diagnosis of carpal tunnel syndrome,Karabük Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('_na836Kfgd7QgyL7IWFNrQ','PMPXaxMKZPFZxKRuNoJ1xg')"
