tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
612788,MUSTAFA ARGINCIKLIGİL,2019,Acil serviste akut kalp yetmezliği tedavi protokollerinin kaval indeks üzerine etkisinin ve kaval indeksin kalp yetmezliği tedavisi monitörizasyonundaki değerinin araştırılması: Prospektif gözlemsel çalışma<br><span style='font-style: italic';>Investigation of the effect of acute heart failure treatment protocols on the caval index and the value of caval index in heart failure treatment monitorization at emergency department: Prospective observational study,Kocaeli Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('8Gea8CaAgXF3ISuS3bRM9w','EPA1xELFyNOhorjzzcfHvw')"
504544,SEDA GÜNEY PINAR,2018,"Pasif bacak kaldırma manevrası sonrası sıvı yanıtlılığını değerlendirmede end-tidal karbondioksit, kardiyak output ve vena cava kollabilite indeksi değişiminin araştırılması<br><span style='font-style: italic';>Investigation of changes in end-tidal carbon dioxide, cardiac output and vena cava collapsibility index after passive leg raising maneuvers to assess fluid responsiveness",Kocaeli Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('to1EicAPTWekZdN_sv9Siw','oVkqK-Bc92p9W21Dm7ViVQ')"
480846,GÜLER GAMZE EREN ÖZCAN,2015,Sıçan karın perforatör flep modelinde fondaparinux\'un iskemi reperfüzyon hasarı ve flep yaşayabilirliği üzerine etkisi<br><span style='font-style: italic';>Effect of fondapari̇nux on ischemia reperfusion injury and flap viability on rat abdominal perforator flap model,Kocaeli Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('Rq7fkWUSj64GAtp2bAb2FA','UXXrRf_PjXAZMMjCDRXLew')"
455800,BETÜL NALBANT,2013,İlk trimester maternal serum papp-a ve serbest beta-hcg değerlerinin gebelik komplikasyonları ile ilişkisi<br><span style='font-style: italic';>To evaluate the combined screening test markers; pregnancy associated plasma protein-a (papp-a) and free beta human chorionic gonadotropin (fß- hcg) measurements on suspicion of poor pregnancy outcomes.,Kocaeli Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('iEeFz0BRahg4P4TpX1HWkA','aSWZdtAGKByh_hIabfA-YQ')"
637259,KAAN HANCI,2020,"Perkütan koroner girişim yapılan hastalarda stent balonu dilatasyonu sırasında angina gelişme sıklığı, yeri, karakteri ve angina lokalizasyonunun koroner anatomi ile ilişkisi<br><span style='font-style: italic';>The relationship between localization of angina andcoronary anatomy besides angina development frequency, location, characteristics during stent balloon dilatationin patients with percutanous coronary intervention",Kocaeli Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('eEFpnvOPyZhG7CwbEf9JWg','GQNaU7q9C3bh2tCbLNEhWg')"
509125,UTKU URGAN,2018,Kocaeli ilinde çalışan tıpta uzmanlık öğrencilerinin mesleksel sağlık durumları ve örgütsel stres düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>Assessment of occupational health conditions and organizational stress levels of resident physicians in kocaeli,Kocaeli Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('G-LWuttin3-uCZL5hcNytg','B8_Xns_sWbTrUZzL5kWcZQ')"
688706,ÖMER ATALAYIN,2021,Kocaeli Üniversitesi Tıp Fakültesi öğrencilerinde dijital bağımlılık düzeyi ve uyku kalitesi arasındaki ilişkisi<br><span style='font-style: italic';>,Kocaeli Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('xDS2pqqOrHwUoXOlAvjvNA','WDKX5qshV7d3RD-EljhtYw')"
635722,CEYLAN ALTINTAŞ TAŞLIÇAY,2020,"Konvansiyonel manyetik rezonans görüntülemenin ve radiomiks tabanlı makina öğrenmesinin menenjiom hastalarında preoperatif grade, histolojik subtip ve surveyansı öngörmeye katkısı<br><span style='font-style: italic';>Contribution of conventional magnetic resonance imaging and radiomics based machine learning in predicting preoperative grade, histological subtype and surveillance in meningioma patients",Kocaeli Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('YHhSvI3bd3ecL47G9ELWXA','jkaRSSjL-TyFpO3Ty7dx5g')"
530346,FULYA OMAK KAYA,2018,NON-dipper hipertansiyon tanılı hastalarda obstrüktif uyku apne sendromu sıklığının araştırılması<br><span style='font-style: italic';>Investigate the prevelence of obstructive sleep apnea syndrome (OSAS) in diagnosed non-dipper hypertension patients,Kocaeli Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('PglgP2Tbn0BTW4fRigrG5A','NXrd5-YLlVEnNOOcQfNO1w')"
641443,ABDULLAH YILDIZ,2020,Karaciğer metastazlarında primer tümör odağını öngörmede \'radiomics\' ve makine öğrenmesinin katkısı<br><span style='font-style: italic';>Contribution of \'radiomics\' and machine learning in predicting primer tumor site in liver metastases,Kocaeli Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('yLqgwWHS_ThFPhPiXYftQg','LXt6HF7urDAdRSGogxckTg')"
452960,ÇİĞDEM NUR OHTAROĞLU,2012,Pediatrik hastalarda psoas kompartman bloğu sonoanatomisi<br><span style='font-style: italic';>Sonoanatomy of psoas compartment block in pediatric patients,Kocaeli Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('mWhflBr7xQ4Fbqugcil6bg','CFuejcmESGzY3KLD6eAQNw')"
293501,EYLEM YETİMOĞLU,2011,Meme kanseri olgularında CD44+/CD24- kanser kök hücre dağılımı ve prognostik faktörler ile ilişkisi<br><span style='font-style: italic';>The percantage of CD44+/CD24- breast cancer stem cell in breast cancer and correlation between the prognostic factors and the percantage,Kocaeli Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('MLmCHL8XlN0QtAgRLSGQXw','5QlEHmV7xG0Ez4EOTuKgHg')"
243492,MEHMET YAYMACI,2009,Orta ?ileri derecede bozulmuş sol ventrikül fonksiyonu olan kalp yetersizliği hastalarında ras blokajı ve diüretik tedavisine eklenen nitrat tedavisinin mortalite ve morbiditeye etkisi<br><span style='font-style: italic';>The effect of adding nitrat treatment on mortality and morbidity in heart failure patients with medium - advanced left ventricular function and using ras blockage and diuretic therapy,Kocaeli Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('NmlDIxPq3jQifYOqFF63pw','3QXHUjHQkQriOq6Kn0SjVg')"
640168,MUSTAFA FURKAN UZUN,2020,Acil servise kan şekeri yüksekliği ile başvuran hastalarda kısa dönem güvenli taburculuk prediktörlerinin incelenmesi<br><span style='font-style: italic';>Investigation of short-term safe discharge predictors in patients admitting to the emergency department with the high of blood sugar,Kocaeli Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('N0wlpcfdoXNmR4H8nenoew','LFV_wVcDa8aB7lY55JyvTg')"
480833,FATİH YENİHAYAT,2015,Diyabetik makula ödeminde subretinal sıvı reflektivitesinin aköz ve vitreus VEGF ve sitokin düzeyleri ile ilişkisi<br><span style='font-style: italic';>Relationship between reflectivity of subretinal fluid reflectivity with vitreous and aqueus vegf and cytokine levels in eyes with diabetic macular edema,Kocaeli Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('JlJM2F0nT320CCIT02drkA','8oEHnpMpEb9TDji3rLA5nA')"
466723,CANAN UYSAL,2016,İyileşme dönemindeki iki uçlu bozukluk hastalarında cinsel işlevlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of sexual functioning in remitted patients with bipolar disorder,Kocaeli Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('2iflbYYNZYBN2K-Wg-PkSA','v5_ZuhRbitSmJcwpV6Jawg')"
466695,ÖMER YONGA,2017,Gelişimsel kalça displazilerinde tönnis lateral asetabuloplastisinin erken ve orta dönem sonuçları<br><span style='font-style: italic';>,Kocaeli Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('LabMqJq_fF3QpL9bj7bwfg','0V0kP6ejyGPL1r_IfWCxNg')"
480840,AHMET KARA,2015,Softbanda ilişik baha cihazlarından elde edilen işitme eşiklerinin implante edilmiş baha cihazlarından elde edilen eşiklerle karşılaştırılması<br><span style='font-style: italic';>Comparing the audiological test results got from softband attached sound processors with bone anchored percutaneous and transcutaneous hearing aids,Kocaeli Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('A_hZuofY6cLByCURrr-KEQ','zwjVA57_TJqRxs5ripHyXg')"
452795,UĞUR ÇAKIR,2011,Kronik hepatit b hastaları ve inaktif taşıyıcıların yaşam kalitelerinin karşılaştırılması ve öngörücülerinin belirlenmesi<br><span style='font-style: italic';>Comparing quality of life scores between inactive hbsag carriers and noncirrotic chronic hepatitis b patients and determining predictors of quality of life,Kocaeli Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases ; Psikiyatri = Psychiatry," onclick=tezDetay('rmf8tr920W7kmeNodlW9Ug','0UGQcJso6JRoIkjWkaniJA')"
528583,HAKAN BAYRAKTAR,2018,2007-2017 yılları arasında opere edilen kolesteatom olgularının eaono/jos sınıflamasına göre değerlendirilmesi ve fonksiyonel sonuçları<br><span style='font-style: italic';>The evaluation of cholesteatoma cases between 2007-2017 byeaono / jos classification and their functional results,Kocaeli Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('6L1B2vt0ejkeUVzdpzJbNA','ac04kU3-yxq-B82FAVQu4A')"
632391,EMRE ÖZCAN,2020,"Gastrointestinal stromal tümörlerde malign davranış riskini belirlemede immünohistokimyasal olarak PHH-3, P53\'ün değerlendirilmesi<br><span style='font-style: italic';>Evaluation of PHH-3, P53 immunohistochemically in determining the risk of malignant behavior of gastrointestinal stromal tumors",Kocaeli Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('oEyicVt9buFXUIXE-phLqw','wpHAYBBHHr6YlN8L7eB7gA')"
520739,VOLKAN BAHADIR,2018,"Kocaeli Üniversitesi Tıp Fakültesi uzmanlık öğrencilerinin çocuk istismarı ve ihmali hakkında bilgi, tutum ve farkındalık düzeylerinin değerlendirilmesi ile eğitim ihtiyaçlarının belirlenmesi<br><span style='font-style: italic';>Assassment of the level of knowledge and awareness and also attitude towards child abuse and neglect among the Kocaeli University Faculty of Medicine physicians and determining of the education needs regarding this field",Kocaeli Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('NsSfUFfdwz5tDjP-QP9MpA','svkOEhQ39zzidATBT4khMA')"
452794,YUSUF YASİN GÜMÜŞ,2011,"Dikkat eksikliği hiperaktivite bozukluğu tanısı alan çocuklarda anksiyete bozukluğu eşhastalanımı yaygınlığı<br><span style='font-style: italic';>Attention deficit hyperactivity disorder, the prevalence of comorbidity in children diagnosed with anxiety disorder",Kocaeli Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('Fg1U2oIax4M3PJw8q6MRoA','OARGJ6Xu6uBT9UBwGz2NaA')"
657245,ESMA YAĞIZ,2020,Kocaeli Üniversitesi öğrencilerinin sağlık okuryazarlığı düzeyleri ve bu durumun akılcı ilaç kullanımıyla olan ilişkisinin incelenmesi<br><span style='font-style: italic';>Health literacy levels of Kocaeli̇ University students and an investigation of the relation of this situation with rational drug use,Kocaeli Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('NhxHScPdR3LXX7Y6O4JiOQ','f2kKfBkY_3l4IAQRzJRocg')"
602168,GÜL ANIL MUTLU ANAKÖK,2019,Türkiye\'de 2050 yılındaki diyabet prevalansının tahmini ve bu prevalansa etki eden risk faktörlerinin potansiyel etkisinin saptanması: Bir modelleme çalışması<br><span style='font-style: italic';>Forecasting diabetes prevalence in Turkey to 2050 and determining potential effects of risk factors\' on this prevalence: A modelling study,Kocaeli Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('vPJeynFhkE0fLOLuXOcOGg','B0Yf00yHOjUiCJIQJkXg8A')"
503984,DUYGU KARAGÖZ,2018,Otizm spektrum bozukluğu tanılı çocuklarda 12 saatlik gece idrarında melatonin metaboliti düzeyinin incelenmesi ve otizm spektrum bozukluğunun klinik bulguları ile melatonin metaboliti atılımı arasındaki ilişki<br><span style='font-style: italic';>The investigation of melatonin metabolite level in 12 hour night urine in children with autism spectrum disorders and the relation between clinical findings of autism spectrum disorder and melatonin metabolite excreti̇on,Kocaeli Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('OlKZeHHJNs8TgjiGWlVdcw','VTdrRuN8ov-jGPKRslQ0OQ')"
666026,AYŞE SÜMEYYE ATALAY,2021,Çocukluk çağında kronik spontan ürtiker ve kronik indüklenebilir ürtiker nedeni ile çocuk alerji polikliniğine başvuran hastaların klinik ve etiyolojik özelliklerin araştırılması<br><span style='font-style: italic';>Investigation of the clinical and etiological characteristics of the patients admitted to the pediatric allergy outpatient clinic due to chronic spontaneous urticaria and chronic inducible urticaria in childhood,Kocaeli Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('S2ANmHFxrXkTU1vfGz4wkg','rcwrnrdjjMyJg0cBdjKriA')"
452796,HANDE ÖZOCAK,2011,Kocaeli Üniversitesi Tıp Fakültesi Hastanesi yoğun bakım ünitesinde mortalite tahmini<br><span style='font-style: italic';>Prediction of mortality in our ICU,Kocaeli Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('Ur_IP0M5wIVf5Ao3BQ1pvw','CpcNsR9FZ-dfuFKHp6DjUw')"
