tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
715027,YILDIZ GONCA DOĞRU,2022,Lateral epikondilit tedavisinde düşük doz dekstroz proloterapi yüksek doz dekstroz proloterapi kadar etkin midir? -çift kör- ultrason eşliğinde- randomize kontrollü çalışma<br><span style='font-style: italic';>Is low dose dextrose prolotherapy as effective as high dose dextrose prolotherapy in the treatment of lateral epicondylitis?- a double-blind- ultrasound-guided- randomized controlled study,Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('IsbwiaqSTYhM-L25zTxxog','3ouPbHxgz8vIZ_TcsKDI9A')"
605404,ÖMER KIZILTAŞ,2019,"Kronik bel ağrılı hastalarda klasik fizik tedavi ajanları ile ekstrakorporeal şok dalga tedavisinin (ESWT), ağrı, disabilite, fonksiyonel durum ve depresyon üzerine etkinliğinin karşılaştırılması: Prospektif randomize kontrollü çalışma<br><span style='font-style: italic';>Comparison of the effectiveness of classic physical therapy agents and extracorporeal shock wave therapy (ESWT) on pain, disability, functional state and depression in patients with chronic low back pain: Prospective randomized controlled study",Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('Qx3Zq7szorl5jdEGvJ3PPw','AeGvo7snv-GmdrAwKkaklg')"
848278,MAHMUT TUNÇEZ,2023,"Aşırı aktif mesane semptomları olan hastalarda D vitamini eksikliğinin sıklığı, bu hastalarda D vitamini desteğinin tedavideki etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>The frequency of vitamin D deficiency in patients with overactive bladder symptoms, evaluation of the efficacy of vitamin D supplementation in these patients",Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('eA_jKPG8zzovjP39gZ0IXw','-y6KLJPU5guf1A9nm91eWQ')"
801127,MUHAMMED ŞAHİN,2023,Kırşehir Ahi Evran Üniversitesi Eğitim ve Araştırma Hastanesi Acil Tıp Kliniğine başvuran iş kazası vakalarının analizi<br><span style='font-style: italic';>Analysis of occupational accidents applicable to Kırşehir Ahi Evran University Training and Research Hospital Emergency Medicine Clinic,Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('OxLqyt4EQ1Y7BlSoePOMJg','uVBOKuqMcSoODPaci79Pbg')"
845721,NAZİME BENSU ÖNENTAŞÇI DEMİR,2023,"Kronik spontan ürtiker hastalarında mevcut tedavilere göre beck depresyon ölçeği, dermatoloji yaşam kalite indeksi karşılaştırılması<br><span style='font-style: italic';>Comparison of beck depression scale and dermatology quality of life index according to current treatments in patients with chronic spontaneous urticaria",Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('TvkV86Ka0ZcJT04gCYH_rw','LvEU9eJm29WUbmGS95AtMw')"
854754,AYSUN MERDAN,2023,COVİD-19\'dan sonra serebrovasküler hastalık ve st eleve miyokart enfarktüsü vakalarında artış durumunun araştırılması<br><span style='font-style: italic';>Investigating the increase in cerebrovascular disease and st eleve myocardial infarction cases after COVİD-19,Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('LcBu91lx6cTghm2lSSSk2w','9n2usikIuqQsVctV1k-Y7w')"
852811,TUĞÇE YILDIRIM BAYRAM,2023,"Hemorajik inmelerde kan parametreleriyle, tedavi şekli ve mortalite arasındaki ilişki<br><span style='font-style: italic';>Relationship between blood parameters, type of treatment and mortality in hemorrhagic strokes",Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine ; Nöroloji = Neurology," onclick=tezDetay('b7WAxC0h3nsQX_lcO-q45w','9YPyR3HpKpk195-ibGdcDQ')"
852796,FURKAN ERDİNÇ,2024,Adeziv kapsülit tedavisinde düşük yoğunluklu ESWT ve düşük yoğunluklu lazer tedavisinin etkinliğinin karşılaştırılması: Randomize kontrollü çalışma<br><span style='font-style: italic';>Comparison of the efficacy of low intensity ESWT and low intensity laser therapy in the treatment of adhesive capsulitis: A randomized controlled trial,Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('lH8BNYNT8AfzqWOBbvdPtA','GCuftdpmTlYJrYh2F3Xefw')"
845738,ALİYE NUR ERDEM,2023,Yoğun bakımdaki hastalarda hastane mortalitesini tahmin etmek için NRS-2002 ve m-nutrıc skor\'un kullanımı<br><span style='font-style: italic';>Use of NRS-2002 and m-nutric score to predict hospital mortality in intensive care unit patients,Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('m6sWepNMMyNWC43IrN0img','KEBUCjQNCHrW4vlrHTm4EA')"
876486,RAGIP YÜKSEL,2024,Kırşehir ilinde karbonmonoksit zehirlenmesi tanısı konulan vakaların retrospektif analizi<br><span style='font-style: italic';>Retrospective analysis of cases diagnosed with carbon monoxide poisoning in Kırşehir province,Kırşehir Ahi Evran Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('aIcFHLF9rs1BBM3Yd-wm3g','Amaw_ukcKTp1o2T5w4lpcQ')"
