tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
357995,MEHMET RAGIB CALAY,1990,Akut serebral iskemide dinamik bilgisayarlı tomografi<br><span style='font-style: italic';>,Marmara Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('A8XJ146q3dQ9k5h_0lk9GQ','ngnEMVV4LhiYP0Co-chawQ')"
157040,DİLEK SEÇKİN GÜN,2004,"Sebareik dermatit yüz tutulumu tedavisinde ketokonazol %2 krem ile metronidazol %0,75 jelin etkinliğinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the efficacy of ketoconazole %2 cream with metronidazole %0,75 jel in the treatment of facial sebarrheic dermatitis",Marmara Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('Ozi5db3tIRX5k3ChHTeZYQ','X7_VmDqyNNO702Jf-BeG-Q')"
157099,NERMINA JAHOVIC,2005,Sıçanda eanole bağlı mide hasarında &#945;- melanosit stimülan hormonun etkisi<br><span style='font-style: italic';>The effects of &#945;-melanocyte stimulating hormone (&#945;-MSH) on ethanol induced gastric ulcer and the putative mechanismis of this effect,Marmara Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('-AxHsWn3kSmOCHF-C_sRUQ','I5agFYBUNofqPKoqWpXeXw')"
316799,RAFET EREN,2012,Primer sjögren sendromunda inflamatuar bel ağrısı ve aksiyel apondiloartropati aıklığı<br><span style='font-style: italic';>Prevalence of inflammatory low back pain and axial spondyloarthritis in primary sjogren syndrome,Marmara Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('87AEBiqHOddcHqAdxQA-eA','Jn5ddIgRH4m43KsV0_pFZA')"
60086,SÜLEYMAN SAMİ KARTI,1997,Alfa-interferonun indüklediği nötrofil fonksiyon değişiminin KML\'de gelişen Behçet benzeri tablodaki yeri<br><span style='font-style: italic';>The Effect alfa-interferon induced neutrophil function changes in Behcet like syndrome in CML,Marmara Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology ; Hematoloji = Hematology," onclick=tezDetay('bmhSQb8zKG5ekb7RjEI_7A','bmhSQb8zKG5ekb7RjEI_7A')"
354065,AYŞE KARATAŞ,2011,"Sünnet sonrası analjezi amacı ile kaudal blok, dorsal penil bloğu, topikal analjezi ve sistemik analjezinin karşılaştırılması<br><span style='font-style: italic';>",Marmara Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('5kYw_u_4JgiL4aFlGgiimg','bqPe5Rt7V-B0wqg94zsClw')"
354074,MEHMET ARİF AKÇAY,2010,Tiroid nodullerinin ayırıcı tanısında elastografinin tanıya katkısının değerlendirilmesi ve histopatolojik korelasyonu<br><span style='font-style: italic';>,Marmara Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('VC-hJeAnzgEUfHoycdm6lQ','7QKbHdpd58vqy6SwAQiz9w')"
99058,HALİL TUĞTEPE,2000,Özofagus atrezisi sıçan modelinde intrinsik sinir sistemi ile matriks proteinlerinin ilişkisi<br><span style='font-style: italic';>The Relationship between intrensek nervous system and extracellular matrix in rat model,Marmara Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('cTtFu3kBV3X5DkFKmsJ6bg','eWA6jpqm0BhcMalDIesMaA')"
132389,EMEL ERYÜKSEL,2003,Sarkoidozda büyüme faktörleri gen ekspresyon analizinin mikroarray yöntemi ile incelenmesi<br><span style='font-style: italic';>,Marmara Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('5oncRDYTfRgJXZCMdNJRdA','jDZg76OW3WqrVrqpYgzQeA')"
132228,G.SEVİN ÖZGÜL,2003,Sıçan mandibulasında iki farklı distraksiyon-kompresyon modelinin olgun kemik oluşumuna etkileri<br><span style='font-style: italic';>,Marmara Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('8Kp5A616cMtL0o5USoN0oQ','nzIEJBPfh6tnwfoOgyjPpA')"
91560,AHMET AKICI,2000,Pratisyen hekimlerin akılcı ilaç tedavisi uygulamaya özendirilmesi<br><span style='font-style: italic';>Having general practitioners inclined to rational use of drugs,Marmara Üniversitesi,Tıpta Uzmanlık,Eczacılık ve Farmakoloji = Pharmacy and Pharmacology," onclick=tezDetay('dxlTgy9_xJ7xPIYHF9UreA','WARO-1Djvs3tUlUfaxRjxg')"
