tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
417183,SERKAN GÜNEŞ,2016,Otizm spektrum bozukluğu olan çocuklarda demir ve ferritin düzeylerinin klinik belirtilerle ilişkisi<br><span style='font-style: italic';>The relationship between iron and ferritin levels and clinical symptoms in children with autism spectrum disorders,Mersin Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('iFaHbVdKI0EA52_so7MHGg','bbLD_0_-WNYP7HJ1wyOm3Q')"
417368,BERNA POLAT,2016,İntihar düşünce ve girişimi olan ergenlerde bağlanma<br><span style='font-style: italic';>The attachment in adolescents with suicidal ideation and suicide attempt,Mersin Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('_VmLFNMEjDMU3Z2I--6ozA','uScnZLpmoWpm9DUoEH7taw')"
510582,FATMA ÇAT,2018,Acil serviste kronik digoksin toksisitesi tanısı alan hastaların geriye dönük incelenmesi<br><span style='font-style: italic';>Retrospective study of patients diagnosed with chronic digoxin toxicity in the emergency department,Mersin Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('43-BBIGmgMm4DN-NpeScAg','SVuTiUy7d6ZhXLzqmScUUw')"
230202,SİNEM HALE ÖZTUNA,2009,Gebe sıçanların olfaktor sistemlerindeki nöral proliferasyon ve sinaptik protein değişikliklerinin immün işaretleme yöntemleri ile değerlendirilmesi<br><span style='font-style: italic';>Assesment of the neural proliferation and synaptic protein differantation in olfactory system of pregnant rats by using immun labelling methods,Mersin Üniversitesi,Tıpta Uzmanlık,Histoloji ve Embriyoloji = Histology and Embryology ; Nöroloji = Neurology," onclick=tezDetay('N_9YKoriLjDZHzkHNgBvkg','BKFoWQeNFFxqLr7lHVzKLQ')"
195105,ALPER AKSOY,2007,Lokal enfeksiyonun mikrovasküler damar anastomozlarına etkisi<br><span style='font-style: italic';>The effect of local infection on microvascular anastomosis,Mersin Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('JkOjy4VP4bbf0zYOrZ6ebg','BPcVoovOskYpj_CQo2L-4g')"
531681,KADİR ÇEVİK,2018,Serebral palsili hastalarda multilevel gevşetme ameliyatının oksijen tüketimi üzerine etkisi<br><span style='font-style: italic';>The effect of multilevel relaxation surgery on the oxygen expenditure in cerebral palsy patients,Mersin Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('63kMx7r_TNfdfNs3sxE5nA','G9UPKQ9a54MeeLaKFr0WKA')"
315462,EMİN SERBÜLENT GÜÇLÜ,2012,Ekstraoküler kas cerrahisinde adezyon oluşumunun önlenmesinde mitomisin c ve infliksimab\'ın etkinliklerinin deneysel olarak karşılaştırılması<br><span style='font-style: italic';>Comparing the effects of mitomycine c and infliximab in scar formation in experimental strabismus surgery,Mersin Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('TncWXE6zxN-WQk5wkVS52Q','WhMCl6dfT-61H5VK-56dgA')"
281109,TÜLÜN İSMİ,2011,Glokomlu ve glokomu olmayan hastalarda katarakt cerrahisinin sonuçlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of cataract surgery results between patients with and without glaucoma,Mersin Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('IomJMadSRS77TRNDZROj-Q','tZxm5lq1sFdkV7u_v8LkKg')"
203361,FAİK DENİZ GÜN,2007,Meme kanseri patogenezinde MHC sınıf-2 moleküllerinin rolü<br><span style='font-style: italic';>The role of MHC class-2 molecules in breast cancer pathogenesis,Mersin Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Genel Cerrahi = General Surgery ; Moleküler Tıp = Molecular Medicine," onclick=tezDetay('6C7Rx3GFIUAPVIxsTgakXQ','nBVJnZB1NbOmqv8Sy381fA')"
507078,FATİH SAĞLAM,2018,Bipolar bozukluk tanılı hastaların ve birinci derece yakınlarının duygu düzenleme güçlüklerinin belirlenmesi<br><span style='font-style: italic';>Investigation of emotion regulation difficulties of patients with bipolar disorder and first-degree relatives,Mersin Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('cATzRxQkR8KxSxtwys6YpA','wrWDU99l7wafirXO5D6Q5w')"
