tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
699709,DAMLA BALKAN,2020,"İnternet bağımlılığı olan ergenlerde ve ebeveynlerinde otizm spektrum semptomlarının, anksiyete ve depresyon düzeylerinin incelenmesi<br><span style='font-style: italic';>Investigation of autism spectrum disorder symptoms and anxiety and depression levels in adolescents with internet addiction and their parents",Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('dQNMJ0r-Z06v2XcPOAulag','CXzk24gH2EFCwooyd_Jd9w')"
701592,FATİH KARAMANLI,2021,Muğla Eğitim ve Araştırma Hastanesi İç Hastalıkları Polikliniğine başvuran tip 2 diyabetik hastaların diyabet öz yönetiminin değerlendirilmesi<br><span style='font-style: italic';>Assessment of diabetes self-management of type 2 diabetic patients who admitted to Muğla Training and Research Hospital Internal Medicine Outpatient Clinic,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('wEG-u2LEYibv0ZCGP6SOyg','hxHcm7bBjXneX-3la6db0A')"
625018,EZGİ DİNÇER,2017,Adenotonsillektomi yapılacak çocuklarda sugammadeksin derlenme ajitasyonuna etkileri<br><span style='font-style: italic';>,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('R607XAo7gZHUw7DvLvX6sA','FMBRuJKCgSTlT8d8kIHSdw')"
672524,HIDIR TANYILDIZI,2021,Unilateral total diz protezi ile aynı seansta karşı dize proksimal fibular osteotomi ve medial gevşetme yapılan bilateral gonartrozlu hastaların klinik ve radyolojik sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('Hvav7zHHbfvSUxkjpXJ_Aw','3SCoscGGZ785-ozr0M7cog')"
672527,MUSTAFA KESTEL,2021,Akut soğuk iskemi süresinin testiküler doku üzerine etkisi<br><span style='font-style: italic';>The effect of acute cold ischemia duration on testicular tissue,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('jMCI824krDVjbQpXjizcxw','nihayd66q5qk1M5iXnkKQA')"
691525,CELİL CAN YALMAN,2021,Lomber dejeneratif disk hastalarının prevelans ve risk faktörlerinin retrospektif  olarak değerlendirilmesi<br><span style='font-style: italic';>Prevelance and risk of lombar degenerative disc patients evaluation of factors as a retrospective,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('DAPb1dUJwoYHhhSa9cTUeA','m1FK2xc8RawhVp2zJNxMUg')"
588255,ARİF ORTANCA,2019,Konjenital üriner sistem genişlemesinin tanı ve tedavisinde farklı sınıflandırma sistemlerinin rolü<br><span style='font-style: italic';>The role of different classification systems in diagnosis and treatment of Congenital urinary system enlargement,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('C3FsMV2Q6PLIflxjolOsUQ','ioRGuh_K8KvLig9SWgLvIw')"
522869,ÖMER ERDOĞAN,2018,Ratlarda testis iskemi reperfüzyon hasarı üzerine nesfatin-1\'in koruyucu etkisinin araştırılması<br><span style='font-style: italic';>Investigation of protective the effect of nesfatin-1 on testicular ischemia reperfusion injury in rats,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('KA0HGijyMvMvpkYnINoDaA','kFO8PvEC73wz9qXIhe4yzA')"
538537,VOLKAN AKKAYA,2018,"Muğla\'da birinci basamakta çalışan yaşlı sağlık çalışanlarının çalışma yaşamı, yaşam kalitesi ve sağlık sorunları yönünden yaşlı olmayan çalışanlarla karşılaştırılması<br><span style='font-style: italic';>Comparison of older primary health care workers with non-older workers in terms of working life, quality of life and health problems in mugla",Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('t2sZ4B-YSuDCfg5CjmwdUA','O4Cr5kk2Poyt3ZcQf6bkbg')"
668627,EZGİ KARAKAŞ PASKAL,2019,Ameliyat esnasında kesilen örgünün tek insizyonmini askı uygulanan stres üriner inkontinanstanılı olgularda örgü üretra arası mesafesi ilealt üriner sistem semptomları arasındaki ilişki<br><span style='font-style: italic';>The association between mesh-to-urethra distance and lower urinary tract symptoms in stress urinary incontinence patients surgically treated with an intra-operatively trimmed single incision mini-sling,Muğla Sıtkı Koçman Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('HPhSUHqIJjAPZAIkqbwZxg','Cw-bBKBA7NAceuqMCOqTVw')"
