tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
662145,ZEYNEP ÖZDEMİR,2020,"Pulmoner arteriyel hipertansiyon ön tanısı olan ve olmayan sistemik skleroz hastalarında dispne, yorgunluk ve yaşam kalitesinin karşılaştırılması<br><span style='font-style: italic';>Comparison of dyspnea, fatigue and quality of life in patients with systemic sclerosis with and without A pre-diagnosis of pulmonary arterial hypertension",Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('y2gMyRLccW0QxRXgG5CJcg','pzv9GpYrkyIvm4bU7gcWKA')"
522897,NAZİLE ARPACI,2018,Olanzapine bağlı  kilo alımı ve metabolik değişikliklerde santral ve periferik nöropeptidlerin rolü<br><span style='font-style: italic';>The role of central and peripheral neuropeptides in olanzapine-induced weight gain and metabolic changes,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('X2v2kOXh70R3G-SV9-HLDQ','_PZ3mAtNExPWbVv1Uw2bVQ')"
669504,ALİ TOPKAÇ,2021,Crohn hastalığı tanılı olgularda serum periostin düzeyinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of serum periostin level in patients with Crohn\'s disease,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('kju7m8YwxwcIdM-DJFt4lg','lZGriQ_Wo9lT4_x-pqkEJQ')"
515550,TUĞBA KAHRAMAN DENİZHAN,2018,Tip 2 diyabetes mellitus tanılı hastalarda nonalkolik yağlı karaciğer hastalığının diyabetin süresi ve diyabetin kronik komplikasyonları ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of the relationship of nonalcoholic fatty liver disease to duration of diabetes and chronic complications of diabetes in patients with type 2 diabetes mellitus,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('4-jQik-Fz4DEkXgxTCXwAg','0je5ti1YqhYiet4D4UIk7A')"
508801,ABDULLAH ÖZÇELİK,2018,Kalp yetmezliği hastalarında oransal nabız basıncı ile kardiyak indeks arasındaki ilişki<br><span style='font-style: italic';>The relationship between proportional pulse pressure and cardiac index in patients wi̇th heart failure,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('XR1yhQYQlfKMI-OlQJeRaQ','aK3YM1DSpur3DjYTCqv9VA')"
522870,MOHAMMED Y.M. DARAGHMA,2018,Pediatrik katarakt cerrahisi geçiren olgularda görsel prognozun değerlendirilmesi<br><span style='font-style: italic';>Evaluate visual prognosis in patients WHO underwent surgery for congenital cataract,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('Y8cmrSJWGtGSmdkOJcK1GQ','svBK-0us4IufxDYIQxGZxw')"
376759,ŞULE ARMAĞAN,2014,"Kronik hepatit b ve kronik hepatit c hastalarında plazma  A ,D, E vitamin düzeyleri ile karaciğer histopatolojisi arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between liver histopathology and plasma A,D,E vitamin levels in patients with chronic b hepatitis and chronic c hepatitis",Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('FtSoU1Bos_mjamWJme066g','T76Ch7tke7dSOqHd70lNcQ')"
376768,TOGHRUL İSMAYILOV,2014,Çocuk suprakondiler humerus kırıklarında  cerrahi tedavi: Klinik ve radyolojik sonuçlarımız<br><span style='font-style: italic';>Operative treatment of supracondylar fractures of the humerus in children: Clinical and radiological outcomes,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('jl0cYcKAyPRliX8T2eWBYw','bPIbHauDaOt20hyaNB6Feg')"
412799,HATİCE YURTGÜN,2014,Kronik obstrüktif akciğer hastalığı\'nda periferik sinir sistemi tutulumu<br><span style='font-style: italic';>Peripheral nervous system involvement in chronic obstructive  pulmonary  disease,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('U2W8ETxq8r5Bw8vpRSlZUw','WB7PjWlrlh3LzcmBYjIkww')"
621827,SALİH DEMİR,2020,Romatoid artrit hastalarında huzursuz bacak sendromu ve anemi parametreleri ile ilişkisi<br><span style='font-style: italic';>Restless leg syndrome in rheumatoid arthritis patients and its relation with anemia parameters,Necmettin Erbakan Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('zFg_NIB9pGkIkbmNUfHA-A','1vhOu9I7byjO17E36vEjiw')"
