tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
601890,ALTUN GÜNDAY,2019,Aile hekimliği polikliniğine başvuran hastaların geleneksel ve tamamlayıcı tıp yöntemleri hakkında bilgi düzeyi<br><span style='font-style: italic';>Level of knowledge of traditional and complementary medicine methods of patients applying to family medicine outpatient clinic,Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('d3620KLXiYKphrnJB0p2Iw','8qjZ45n0nFS_kfjY3PaeLA')"
702234,FATMA GERÇEKER,2021,Ordu il merkezinde çalışan hekimlerde defansif (çekinik) tıp uygulamalarının araştırılması<br><span style='font-style: italic';>Evaluation of defensi̇ve (recessive) medicine practices in physicians working in ordu provincial center,Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('tJ9rwNIdnc1egjzKbCD-Xw','uP2DVspzzMbEh1waHx3fsA')"
502842,ZEYNEP DOĞANGÜZEL,2018,Prostat adenokarsinomlarında ve hiperplazilerinderas ve stat3 sinyal yolakları ve prognostik parametrelerle değerlendirilmesi<br><span style='font-style: italic';>Correlation of ras and stat3 with prognosticparameters in prostatic adenocarcinomas and benignprostatic hyperplasia,Ordu Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('u5Gcreame9EgeE93eLzqKw','UOL8EvvlX2TrzSX1efA4cg')"
601881,MELİKE KARABULUT ÖZER,2019,"Yetişkin bireylerin kanser taramaları hakkındaki bilgi, tutum ve davranışları<br><span style='font-style: italic';>Knowledge attitudes and behaviors of adult individuals about cancer screening",Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Gn1qKzTf_vX_qh9JGGBEJQ','pXsaw9Z1XMVtvGdyrm0gEg')"
610018,NECATİ UĞUR HAZAR,2019,Ratlarda deneysel oluşturulan epidural fibrozis modelinde emodinin etkileri<br><span style='font-style: italic';>The effects of emodin in the experimentally modeled epidural fibrosis model in rats,Ordu Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('9_vAPq5qSr5CEi-Wr2Zyrg','C17scpdkw9pHDBn04jPNEA')"
646386,MUSTAFA KILIÇ,2020,"Aile hekimliği polikliniğine başvuran tip 2 diyabetli hastaların yaşam kalitesi düzeyi ve anksiyete, depresyon durumları<br><span style='font-style: italic';>Quality of life and anxiety, depression status of patient with TYPE 2 diabetes admitted to the Family Medicine outpatient clinic",Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('CRav3-XavDKtRfL_P1EqBw','CT4xhPdEfzg3LaDfNINc_Q')"
699037,TUĞBA DAĞAŞAN,2021,Ordu Üniversitesi Eğitim Ve Araştırma Hastanesinde kadın sağlık çalışanlarının kadına yönelik şiddete ilişkin tutum ve davranışlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the attitude and behavior of women healthcare professionals regarding violence against women in Ordu University Training and Research Hospital,Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('wim-cmG2sAMlX9oMyCAo4Q','VsTcZzcYhAPV4lnw7qYoVQ')"
750370,MEHMET SEYFETTİN SARIBAŞ,2022,"Acil servise göğüs ağrısı ile başvuran hastalarda 30 günlük majör advers kardiyak olayların tahmini için HEART, TIMI ve EDACS skorlarının karşılaştırılması<br><span style='font-style: italic';>Comparison of HEART, TIMI and EDACS scores forestimating 30-day major adverse cardiac events inpatients presenting to the emergency department withchest pain",Ordu Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('_7nvFJrS0v7ZkAThNJF_hg','2-rFhT3rsfLHKVZp3LTH0w')"
729787,NİHAL TÜRKMEN TÜRKER,2022,Kronik böbrek hastalarında anemi ve ilişkili faktörler<br><span style='font-style: italic';>Anemia and associated factors in chronic kidney patients,Ordu Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('AdR376npGYAvAVcD_pLHCg','yRSpAUA2hPZ16iQDjQ3QiA')"
797625,BENNUR TURGUT,2023,Aile hekimliği polikliniğine başvuran 18-49 yaş arası kadınların anne sütü ve emzirme konusundaki bilgi düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the knowledge levels of women ages 18-49 who apply to the family medicine polyclinic on breast milk and breastfeeding,Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('tSFQ3v-Xzu59V9V-1m_REg','xyzcl5rLaBz3NhI5ZL1fUw')"
814617,MUHAMMED ÇAĞATAY İŞYAPAN,2023,0-6 yaş grubu çocuğu olan annelerin ateş konusundaki bilgileri ve ateşli çocuğa yaklaşımlarının değerlendirilmesi<br><span style='font-style: italic';>The knowledge of mothers with 0-6 age group children on fever and the evaluation of their approach to children with fever,Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('enrXQ8C7QKMTKzvVeRd9tA','pYt1PAJ-InWCN0FtEYH4wA')"
852718,ÇAĞATAY EVLİ,2023,"Aile hekimliği polikliniğine başvuran erişkinlerin bağışıklama konusundaki bilgi, tutum ve davranışlarının araştırılması<br><span style='font-style: italic';>Investigation on the knowledge, attitudes and behaviors of adults who apply to the family medicine polyclinic regarding immunication",Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('qRBs6WG75s8gWpg59SsLtQ','NmoYyxkiNrtrXjxiHpXiow')"
852725,MURAT TINKIR,2023,"Aile hekimliği polikliniklerine başvuran Ordu üniversitesi öğrencilerinde dismenore sıklığı, fonksiyonel ve emosyonel etkilenme durumu<br><span style='font-style: italic';>Dysmenorrhea frequency, functional and emotional affected status in Ordu university students applying to family medicine outpatient clinics",Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('HNfLc5gNN-apQEWi1ukWYg','AGTAbg_Nc8NphmbarDGr7A')"
859906,YAVUZ SELİM EROL,2023,"Ordu üniversitesi eğitim ve araştırma hastanesi aile hekimliği polikliniklerine başvuran yetişkin hastaların organ bağışı ve nakli hakkında bilgi, tutum ve davranışlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the knowledge, attitudes and behaviors about organ transplantation and donation of adult patients applicable to ordu training and research hospital family medicine polyclinics",Ordu Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Y8FUmYOJMdYGJFpf-mmvuw','YF-YYHl_tHAydFDt32_WPQ')"
