tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
576268,EROL ÇİFTÇİ,2019,Çocuk ve ergenlerde davranış envanteri aile formu\' nun Türkçe\' ye uyarlanması<br><span style='font-style: italic';>Adaptation to Turkish of child and adolescents behavior inventory family form,Pamukkale Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('l1eZZW7RXWzwSJkXeu67Qg','NwfAKLo2oPOOyc8-8l1mWQ')"
132262,MERİH SARHUŞ,2003,Ağrılı omuzun tedavisinde intraartiküler hyaluronik asit uygulamasının geleneksel fizik tedavi yöntemleri ile karşılaştırılması<br><span style='font-style: italic';>,Pamukkale Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('NEBMi3vhlpsoD0uxSGd3Fw','LyDrCwdXlU6_qiFprsqifw')"
536605,VEYSEL EROL,2019,"Otozomal dominant polikistik böbrek hastalığında renalazın diürnal kan basıncı ritmi, sol ventrikül kitle indeksi ve ateroskleroz ile ilişkisi<br><span style='font-style: italic';>The relationship of renalase with diurnal blood pressure rhytm, left ventricular mass index and aterosclerosis in otozomal dominant polycystic kidney disease",Pamukkale Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('L-NRf-xLTZwAcl1hTILoLA','h-Hd_HICBaiahk1TFEacKA')"
458084,ZEYNEP DÜNDAR ÖK,2016,Kronik hepatit B hastalarında HBSAG ve M30-antijen titre takibinin klinik yararı<br><span style='font-style: italic';>Clinical benefits of hbsağ and M30-antigen titer following in cronic hepatitis  B patients,Pamukkale Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('r8TfvLrjnzh0l28GFCe7sw','GtPr4J7McvkQUIIADfSO8g')"
132432,UĞUR GÖKSU,2003,Deneysel testis torsiyonunda iskemi reperfüzyon hasarının biyokimyasal olarak değerlendirilmesi ve verapamil ile pentoksifilinin etkinliği<br><span style='font-style: italic';>,Pamukkale Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('wWwhrXOuGCb2fg3iUPuXJQ','UUI5rJzPq0WRpPaupbtpeA')"
579586,SONER DAĞLI,2019,Denizli\'de 2013 - 2019 yılları arasındaki asıya bağlı ölümlerin retrospektif değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of hanging deaths between 2013-2019 in Denizli,Pamukkale Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('rsu5JJPfseiJaFWpFnH_ug','N2TTYS-MQhanw3YuBnzSkg')"
157021,HAYDAR ALİ ERKEN,2004,Deneysel akut penisilin epilepsisi modelinde orexin A ve oreksin B\'nin etkileri<br><span style='font-style: italic';>Effects of orexin A and orexin B in experimental acute penicilline epilepsy,Pamukkale Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('vlyjVp7RETunfKlp3A1-4A','HsB_KDc6j054M3Yt7J4BxA')"
644487,BARIŞ ALBUZ,2020,Kraniyosinostoz tanılı hastalarda endoskopik sütürektomi ve rekonstrüktif cerrahinin karşılaştırılması<br><span style='font-style: italic';>Comparison of endoscopic suturectomy and reconstructive surgery in patients with A diagnosis of craniosynostosis,Pamukkale Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('sOlBkHN-dMi7kA-VXTa9ng','TJ2zLX5V2Si_K--dvvU1lA')"
331329,ESEN ÇEŞME,2013,"Displastik nevüslerde 3 özellik kontrol listesi, 7 özellik kontrol listesi, ABCD ve patern analizi skorlamalarının karşılaştırılması ve histopatolojik korelasyon<br><span style='font-style: italic';>Comparison of 3 point checklist, 7 point checklist, ABCD and pattern analysis scoring systems and histopathologic correlation in dysplasic nevi",Pamukkale Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('J16VzsohAQkgz1NET8mQ0Q','ISpEOXef1afTPTCinWc5ag')"
680490,BURAK ERAL,2021,C2 vertebra transpediküler vidalama serbest el tekniğinin navigasyon yardımlı teknikler ile karşılaştırılması<br><span style='font-style: italic';>C2 vertebra comparison of transpedicular screwing free hand techniques with navigation assisted techniques,Pamukkale Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('Wi_VO6tVhN-_vV38HCHWag','bnVO4c-ki0FIJmGCQD21lw')"
