tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
623655,AYŞE HAMDE ÇAMDAĞ,2020,"Türkiye\'nin Sakarya ilinde atopik dermatit, alerjik rinit ve astımlı çocukların inhalan ve besin alerjenlerine duyarlılık prevalansı<br><span style='font-style: italic';>The sensitivity prevalance to the inhalen and food allergens of the children with atopic dermatit, allergic rhinitis and asthma i̇n Sakarya province of Turkey",Sakarya Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('NacAiGwZbNIkM5l7OgoqWg','vCPrUwDWfW8hIcw4g4dIGA')"
618395,MERVE HİLAL TEPE,2020,Hepatit c tedavisi sonrasında non-invaziv fibrozis belirteçlerinde görülen değişimin siroz ya da HCC gelişimini predikte etmedeki değerliliği<br><span style='font-style: italic';>,Sakarya Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('qxd2VIjlehg3Avz4bgcf2Q','tTN-potKACXYzZPSUbWoBg')"
689657,ANIL ERDİK,2021,Radikal sistektomi operasyonu geçiren hastalarda postoperatif komplikasyonların preoperatif öngörücüleri; operasyon öncesi yapılan tomografi yardımlı pelvik çap ölçümünün cerrahi ve hasta sonuçları üzerinde etkisi olabilir mi?<br><span style='font-style: italic';>Preoperative predictions of postoperative complications in patients undergoing radical cystectomy; can a pre-operational tomography assisted pelvic diameter measurement have an effect on surgery and patient results?,Sakarya Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('ZtzQWJ-7HGb0YKQvOsfz4w','dTTs3TITgIDf317w07ClCA')"
600179,NİMET YERLİ,2019,İnfertil popülasyonda müllerian anomalilerin polikistik over sendrom fenotipi ile ilişkisinin saptanması<br><span style='font-style: italic';>Determination of the relationship of mullerian anomalies with polycystic over syndrome phenotype in infertile population,Sakarya Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('-aSs4-wkLBF_FoghJRjdsw','TekDglfQ5qxWOPtKAXXCzQ')"
666981,YEŞİM DURGUN,2021,Karın ağrısı yakınmasıyla acil servise başvuran hastalara yapılan hedefe yönelik yatakbaşı ultrasonografinin teşhis ve tedavi sürecine etkisi<br><span style='font-style: italic';>Effects of point-of-care ultrasonography on the diagnostic process of patients admitted to the emergency department with abdominal pain,Sakarya Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine ; İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('mryQetdALbOokr_GzQ0J2w','9MY_2TIMaxwoFYu8JspaHw')"
489912,OBEN BARAN KANAR,2018,Kardiyopulmoner resüsitasyon sonlanımı ve kısa/uzun dönem mortaliteye etki eden faktörlerin analizi<br><span style='font-style: italic';>Analysis of factors affecting cardiopulmonary resuscitation outcome and short/long term mortality,Sakarya Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('RcKKHf55_IJ5TAcGfYw1DQ','YgRRP-EHlM0I972wKXl9pQ')"
644265,İHSAN SARIKAYA,2020,Kronik öksürüğü olan bireylerin uyku ve yaşam kaliteleri ile ilişkili faktörlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of factors relating the sleep quality and quality of life of individuals with chronic cough,Sakarya Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine ; Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('xI9mnV3GnmXNvBrxGCxrbw','FKFaILkLqcF7oemSmWeADw')"
661821,MUSTAFA KARABACAK,2021,Red cell distrabition width (RDW) değerlerinin intravenöz trombolitik tedavi verilen akut iskemik inme hastalarındaki prognoz ile ilişkisi<br><span style='font-style: italic';>The relationship of red cell distrabition width (RDW) values with prognosis in acute ischemic stroke patients given intravenous thrombolitic treatment,Sakarya Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('HmYyD6_gbP8VvTUMS2HHUw','pAppuz6wBMQT7Ov0f9IPSQ')"
478856,MEHMET ERSAVAŞ,2017,Kronik obstruktif akciğer hastalığı olan kişilerin bilgisayarlı tomografi görüntülemesinde sürrenal bez hacimlerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of surrenal gland volume of chronic obstructive pulmonary disease patients by computed tomographic imaging,Sakarya Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('UQOBPXWhQ2WGsmxBrXmMTw','pcNT-NI1_iwkVSbKcs9Ayw')"
538063,MEHMET PEKDEMİR,2019,"Bir eğitim ve araştırma hastanesi çalışan sağlığı biriminde değerlendirilen personelin genel sağlık durumunun, yakınmalarının ve sık görülen hastalıklarının incelenmesi<br><span style='font-style: italic';>Investigation of the general health status, complaints and common diseases of personnel who evaluated in the employee health unit of A training and research hospital",Sakarya Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Q6aDYJetyuutiSIG7jr84g','CCf8yJZaQ-berOnFKiR12w')"
