tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
834861,GİZEM JÜLİDE KALAYCI,2022,Samsun ilindeki aile hekimliği asistanlarının periyodik sağlık muayeneleri hakkındaki bilgi düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>The level of knowledge for periodic health examination of family medicine residents in Samsun (province),Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('oj1yF2LLAxXIcl4n0DtQJQ','mUTv_nYJZk3EewXweOZI2Q')"
848214,REHA ORDULU,2023,Üreterorenoskopi sonrası üreter darlığı gelişim riskini öngörmede nötrofil/lenfosit oranı (NLR)\'nın etkisi<br><span style='font-style: italic';>The effect of neutrophil/lymphocyte ratio (NLR) in predicting the risk of development of ureteral stricture after ureterorenoscopy,Samsun Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('7dPdo-EpJda36HI0bUOkYA','Go_IKxSRyr8Lu-HRkCNFVw')"
844079,MELİH HANCİ,2023,Acil servise başvuran akut iskemik inme hastalarında ölçülen serum profilin-1 düzeyleri mekanik trombektomi gereksinimi için bir gösterge olabilir mi?<br><span style='font-style: italic';>Can serum profilin-1 levels measured in acute ischemic stroke patients admitted to the emergency department be an indicator for the need for mechanical thrombectomy?,Samsun Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('cqPcAPrWLx_TK4iRFMTXbA','5osc0VngmKUzVa1XvBb7uQ')"
850079,BUĞRA ÖZEL,2023,Üst gastrointestinal sistem kanamasında warfarin ve yeni nesil oralantikoagulanların etkisinin karşılaştırılması<br><span style='font-style: italic';>Comparison of the effect of warfarin and direct oral anticoagulants in upper gastrointestinal system bleeding,Samsun Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('PwhalA2z1NU2Bc5ptt8xwA','TYiCHUoS5JYPqqReANETgQ')"
848136,VECDİ VAHDET ÇÖMEZ,2023,Orta ve ağır inme hastalarında optik sinir kılıf çapının ultrasonografik ölçümü büyük damar oklüzyonunu gösterebilir mi?<br><span style='font-style: italic';>Can ultrasonographic measurement of optic nerve sheath diameter indicate large vessel occlusion in moderate and severe stroke patients?,Samsun Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('8BoqXv1y6p-f7daxQeFRag','3LuUsuDi9ncCALeWUN03PA')"
848436,YASİN CEYLAN,2023,"Acil Servise başvuran COVID-19 pnömonili hastalarda SOFA, qSOFA, CURB-65 ve 4C mortalite skorlama sistemlerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of SOFA, qSOFA, CURB-65 and 4C mortality scoring systems in patients with COVID-19 pneumonia admitting to the Emergency Department",Samsun Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('9dWYYX4SIuGTL3T2i5ZHPw','FHlsVPbqW5Kcj-2m-FTqzw')"
904827,RAMAZAN BURAK FERLİ,2024,Total kalça artroplastisinde suprainguinal fasya iliaka bloğu (SFİB) ve kuadratus lumborum – 3 bloğunun (QLB – 3) analjezik etkinliğinin karşılaştırılması<br><span style='font-style: italic';>Comparison of Analgesic Efficacy between Suprainguinal Fascia Iliaca Block (SFIB) and Quadratus Lumborum Block-3 (QLB-3) in Total Hip Arthroplasty,Samsun Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('22QENcB3W1UMpX0XtBo-jg','knhdbmqAoe-showM94IJnA')"
887094,AHMET CAN SARI,2024,Metabolik ve bariatrik cerrahi sonrası orta ve uzun dönem klinik sonuçlar<br><span style='font-style: italic';>Intermediate and long-term clinical results after metabolic and bariatric surgery,Samsun Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('NM5KBlKyDU-fQ2W2vPjE-A','bmctrP79J7Yf3C40JVVWyg')"
907273,CEREN KOÇYİĞİT,2024,Acil servise koah alevlenme ile başvuran hastalarda ölçülen pleth varıabılıty ındex (PVI) değerleri klinik ciddiyeti öngörebilir mi?<br><span style='font-style: italic';>Can the measured pleth variability index (PVI) values predict clinical severity in patients presenting to the emergency department with copd exacerbation?,Samsun Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('cz7ISRT2JSd0EYRtEwwx-A','k6si_OgPS-K3ynwDc9ADTg')"
902092,HAKAN SATILMIŞ,2024,Karbonmonoksit  zehirlenmesi nedeni ile acil servise başvuran hastalarda laktat klirensinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of lactate clearance in patients presenting to the emergency department due to carbon monoxide poisoning,Samsun Üniversitesi,Tıpta Uzmanlık,Acil Tıp = Emergency Medicine," onclick=tezDetay('my9A1PQ3-nryzPo4d4n9ww','zyTQko3Dolgd7qOdC4RpEA')"
911919,MUSTAFA SAFA UYANIK,2024,Herediter meme kanserli hastalarda mutasyon sıklığı ve klinik/patolojik parametreler ile ilişkisi<br><span style='font-style: italic';>Mutation frequency in patients with hereditary breast cancer and its relationship with clinical/pathological parameters,Samsun Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('5CDgUu1mmBROxwtJIKqFEQ','UDYr9eWYb5uv0RTeLPwIPg')"
915603,UĞURGÜL ADIYAMAN,2024,"Kanserli aile üyesi olan ve olmayan bireylerin kanser tarama programlarına yönelik bilgi, tutum ve davranışlarının değerlendirilmesi ve karşılaştırılması<br><span style='font-style: italic';>Evaluation and comparison of knowledge, attitudes and behaviors of individuals with and without family members with cancer towards cancer screening programs",Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('ZqkvaTunOjYtfpVj098cqA','PqLMelqSA1rK5llBH6XmNg')"
915570,ERDOĞAN SEMİZ,2024,"Samsun İlinde Aile Sağlığı Merkezinde çalışan hekimlerin erişkin aşılama konusunda bilgi, tutum ve davranışları<br><span style='font-style: italic';>Knowledge, attitude and behavior of physicians working in a Family health center in Samsun Province about adult vaccination",Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Vx7LXdLbvxbGoC_06mHdLg','XgBy5iIe-CpEExHkTH9lUg')"
731212,MUHAMMED EMİN GÖKTEPE,2022,Kapsamlı palyatif bakım servisine yatışı yapılan hastaların analizi- 1 yıllık deneyimimiz<br><span style='font-style: italic';>Analysis of patients hospitalised in the comprehensive palliative care service - our 1-year experience,Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('Kve_x1AsSCZxZma_9eZ3_Q','ecoBbMrBpMesngG1hSjAqA')"
731195,MUHAMMED ALİ ATASEVER,2022,Metastatik kolorektal kanser hastalarında ilerlemiş akciğer kanseri inflamasyon indeksi\'nin prognostik rolü<br><span style='font-style: italic';>The prognostic role of advanced lung cancer inflammation index in patients with metastatic colorectal cancer,Samsun Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology ; İç Hastalıkları = Internal diseases," onclick=tezDetay('jfcPc_kEd9QWMN_LlvcXJQ','2Q6lXUUIpMTnlaxPYjQjqA')"
731222,MERYEM AKKAŞ,2022,Aile sağlığı merkezlerine kayıtlı 15-49 yaş arası evli kadınların aile planlaması tutumlarının doğurganlık ile ilişkisi; samsun ili örneği<br><span style='font-style: italic';>The relationship of family planning attitudes and fertility of married women aged 15-49 registered to family health centers; samsun province example,Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine ; Aile Planlaması = Family Planning," onclick=tezDetay('OnfZSbBmLIl7aiUZwj_tSQ','fTnkf4EBFcpNdtXjZN4vBg')"
800640,KEMAL DURMUŞOĞLU,2022,Ebeveynlerin çocuklarda sünnet operasyonuna yönelik bilgi ve tutumlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of parents\' knowledge and attitudes towards circumcision operation in children,Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('2PGdv2_Rspaivp1SnJkA9A','birbU6tJyEWHhtN_RR7hGA')"
838111,CANSU PETEK İNAN,2022,"Evde bakım alan, enteral tüple beslenen hastaların bakım verenlerinde bakım yükü ve yaşam kalitesi<br><span style='font-style: italic';>Caregiver burden and quality of life of caregivers of patients who receive home care and feed with enteral tubes",Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('elMXyXvpu4iqQy7vOV-Bzg','LgTJaHasa7yhIaxZsD-4jQ')"
878654,SELÇUK KARAKOYUN,2022,"Küçük hücreli akciğer kanserinde sistemik immun-inflamatuar indeks (Sİİ), prognostik nutrisyonel indeks (PNİ) ve Hemoglobin/RDW oranının prognoz ile ilişkisi<br><span style='font-style: italic';>The relation of systemic immune-inflammatory index (SII), prognostic nutritional index (PNI) and Hemoglobin/RDW ratio with prognosis in small cell lung cancer",Samsun Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('g-9PZ2z0ULkc-JW5hB9gog','nIoxjvR8Tk8MArK22Z933g')"
894763,ÖZLEM KIRCI,2022,Palyatif bakım servisinde tedavi gören geriatrik hastalarda polifarmasinin; \'\'Türkiye yaşlıda uygunsuz ilaç kullanım kriterleri\'\' ile değerlendirilmesi<br><span style='font-style: italic';>Polypharmacy in geriatric patients treated in palliative care service; evaluation of \'Turkish inappropriate medication use in the elderly\' criteria,Samsun Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('yY_fw1-dmR0mEDk9BvxyZA','QKCo5YfDjvN-WPTd9h5Yaw')"
