tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
520983,BİLGE TÜRK,2006,Timpanoplastilerde seprafilm® uygulama sonuçlarımız<br><span style='font-style: italic';>Results of seprafilm application in tympanoplasty surgeries,Sağlık Bakanlığı,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('afyTPP080Fe2ul3rPOd0Qg','bnltdux_1wCbGZndNcHs2w')"
536664,EMİNE DAĞISTAN,2009,"Benign ve malign meme kitlelerinde ultrasonografi, mamografi ve mrg bulgularının histopatolojik bulgularla karşılaştırılması<br><span style='font-style: italic';>Comparison of ultrasonography, mammography and mri findings with histopathological findings in benign and malignant breast masses",Sağlık Bakanlığı,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine ; Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('b66ji3tIKYjvGqy1XVOOcQ','Lpa_aT0g8jgsAuqICl1pYQ')"
664396,HÜSEYİN SARI,2008,Obstrüktif uyku apne sendromlu hastalarda vücut kitle indeksi ve boyun çevresi ölçümlerinin apne hipopne indeksiyle korelasyonu<br><span style='font-style: italic';>,Sağlık Bakanlığı,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('RyuKj8aIkj0tA8xBF6odgA','7EwnzufxinFC7pAAwz3iuw')"
644384,ÖNDER TURNA,2011,Benign ve malign vertebra kırıklarının ayırıcı tanısında difuzyon MRG\'nin tanı değeri<br><span style='font-style: italic';>Diagnostic value of diffusion MRI in the differential diagnosis of benign and malign vertebral fractures,Sağlık Bakanlığı,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('9FdknSIMx5Nrf2tVIqUgrw','sCJcHob2pyyexh0Z7161rw')"
487626,İSMAİL MURAD PEPE,2010,Gelişimsel kalça displazisi nedeni ile tek seansta kombine cerrahi tedavi uyguladığımız hastalarımızın uzun dönem klinik ve radyolojik sonuçlarının analizi<br><span style='font-style: italic';>Long-term clinical and radiological outcome of simultaneous combined surgery in developmental dysplasia of the hip,Sağlık Bakanlığı,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('WaJrFmgA6yGobWiQkubBZg','LAeN32CyDD81DNhyF2z1Mg')"
271697,ALİ ABUK,2010,"Preterm bebeklerde ilk mekonyum çıkış zamanı, mekonyum pasaj süresine etki eden prenetal, natal ve postnatal faktörlerin incelenmesi<br><span style='font-style: italic';>",Sağlık Bakanlığı,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('kHb-w4j_bfIe9XYK10xUaQ','f-XePOYt6MZNzo7oSOeJMQ')"
650910,BELGİN KÜÇÜKKAYA,2008,Hiperlipdemik hastalarda ezetemibmonoterapisinin lipid profil ile enflamatuvarbelirteçlerin üzerindeki etkileri<br><span style='font-style: italic';>Effects of ezetemib monotherapy on lipid profile and inflammatory markers in hyperlipidemic patients,Sağlık Bakanlığı,Tıpta Uzmanlık,Sağlık Eğitimi = Health Education," onclick=tezDetay('kyvsQc9Ab8C9H8gktff7bw','Pc2vxwBGIleaBTBGjmzblg')"
535434,MUSA EKİCİ,2009,Stres tipte idrar kaçırma tedavisinde transobturator tape uygulaması ve orta dönem sonuçları<br><span style='font-style: italic';>Transobturator tape technique for stress urinaryincontinance and mid term outcomes.,Sağlık Bakanlığı,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('2zMWV999Jb1-PMfXDvgykg','8Y3r4a7RRcx9BuH4Bgc-Kw')"
535585,ÖZGÜR İLHAN ÇELİK,2008,"Mide Karsinomlarında KAI-1, MUC1, MUC2, MUC5AC ekspresyonları ve prognostik parametrelerle ilişkileri<br><span style='font-style: italic';>KAI-1, MUC1, MUC2, MUC5AC expressions in gastric carcinomas and their relations with the prognostic parameters",Sağlık Bakanlığı,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('7O0AZbY0Yf0UubHa3Aubhg','czxtsXd8zjxB4Z3sYRuh3g')"
634921,ESMA TÜRKMEN,2011,Romatoid artrit aktivasyon kriterleri ile serum hepcidin düzeyleri arasındaki ilişki<br><span style='font-style: italic';>Romatoi̇d artri̇t akti̇vasyon kri̇terleri̇ i̇le serum hepci̇di̇n düzeyleri̇ arasindaki̇ i̇li̇şki̇,Sağlık Bakanlığı,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('pw4QAdJwJjI-GeDusFeDaw','j_FnYKdF66DGhivipB94pw')"
