tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
704936,VAHDİ ERKAN,2021,Biyorezonans yönteminin kilo verme üzerine etkisi<br><span style='font-style: italic';>Effect of bioresonance method on weight loss,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('HZzLMlwkoUeSTMm0G9FbtQ','BvjKV72tCCQlXgl3XrpbhQ')"
653274,MEHMET FATİH ÜNVER,2020,2005-2018 yılları arasında meydana gelen cinayetlerdeki suçlu profillerinin analizi<br><span style='font-style: italic';>Analysis of criminal profiles in the homicides occurring between 2005-2018,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine ; Hukuk = Law ; Sosyoloji = Sociology," onclick=tezDetay('0bNpr0N9dlM4oHFcOwIxjw','v-DhfMz80VkR_KGUOebjXA')"
780258,İSMAİL KIVANÇ CEBECİOĞLU,2021,Pandemi döneminde maske ile çalışan sağlık personelinin solunumsal yönden değerlendirilmesi<br><span style='font-style: italic';>Respiratory evaluation of health personnel who work with mask during the pandemic period,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('5Ek6zuKupg5b-uL03pvizg','6aYhUnFhPnMx-nnZyC_HnA')"
674362,HATİCE BİNGÖL,2021,"Sepsis hastalarında eozinofil, C-reaktif protein ve nötrofil/ lenfosit oranının prognoz ile ilişkisi<br><span style='font-style: italic';>The relationship of eosinophil, C-reactive protein and neutrophil / lymphocyte ratio in prognosis in sepsis patients",Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('U0uTKgyjPlScuMvskoP2eg','xGUrosEc7Advd8uzMRDCAw')"
663518,DİLEK KILINÇ CANDEMİR,2021,Son 10 yılda doğum yapmış kadınlarda tiroid fonksiyon testlerinin fetal sonlanım ile ilişkisi<br><span style='font-style: italic';>The relationship of thyroid function tests with fetalend of given in the last 10 years,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('4jCuFwrS7nycxzAa3wL7ZA','57HbG_xTRpA590_y6nqeGQ')"
663061,GÖZDE KÖYLÜ,2021,Prematür adrenarşlı olgularda inflamatuar belirteçlerin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of inflammatory markers in cases with premature adrenarch,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('FXnIZHkez2nPX2HX4qmQ2A','gzpoohoaouTLohjKF9gnKQ')"
663513,PERİHAN BEYSEL,2021,Obez ergenlerde metabolik sendrom sıklığı ve metabolik sendrom için risk faktörlerinin belirlenmesi<br><span style='font-style: italic';>Determination of the prevalence of metabolic syndrome and the risk factors for metabolic syndrome in obese adolescents,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('G26gmqt_-9Re1LsLskaaJA','S4oOYi2Kg4qIaiEvRZwDww')"
642573,ESRA ELBİR BABACAN,2020,Romatoid artrit tanılı hastalardaserum interlökin-35 düzeyi ve hastalık aktivitesi ile ilişkisi<br><span style='font-style: italic';>Serum interleukin 35 level and relationship with disease activity in patients with  rheumatoid arthritis,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('x62PVaFDjNJZnsVCPdsuHw','aQKyDtIUqp0KW_FQR5kn7w')"
670713,BAYCAN BUĞRA BEDEL,2021,Erektör spina plan bloğunun lomber cerrahi sonrası postoperatif ağrı üzerine etkisi<br><span style='font-style: italic';>Effect of erector spinae plane block on postoperative pain after lombar surgery,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('cdnmpc-n5HCj8Rjnn6TXwA','nPAc3nJTj6hcV6sl8N5MMQ')"
670301,NUH DEDE,2021,Ameliyathanede preoperatif dönemde skinfold kaliper yöntemi ile ölçülen ortalama yağ yüzdesinin spinal anestezi yayılım seviyesi ve hipotansiyonla ilişkisi<br><span style='font-style: italic';>The relationship between the average fat percentage measured with the skinfold caliper method in the preoperative period in the operating room with the level of spinal anesthesia spread and hypotension,Sivas Cumhuriyet Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('HLo9OIXdeXIibO74uMcOsA','6FENeEjALcvS3HrQAenSLA')"
