tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
156979,UFUK ŞAHİN TIĞ,2004,Göz travmaları ve vitreoretinal cerrahi<br><span style='font-style: italic';>Eye traumas and vitreoretinal surgery,Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('Poytfh1bAqdzcBYAdmCw_Q','1zjc9l-4PEufllfwcgKdGw')"
91289,AHMET KOYU,1997,Deneysel immün cevap esnasında kan hormon düzeylerindeki değişiklikler<br><span style='font-style: italic';>Changes in blood hormone levels during the experimental immune response,Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('esWqrdWom_FL3a0PYIZG8Q','esWqrdWom_FL3a0PYIZG8Q')"
449006,BURCU MERYEM ATAK,2016,"Diyabetik olmayan, böbrek fonksiyon testleri normal hipertansif bireylerde 25 OH vitamin D düzeyinin kantitatif proteinüri ve sirkadiyen kan basıncı değişikliği ile ilişkisi<br><span style='font-style: italic';>The relation of 25 oh vitamin D levels in non-diabetic, hypertensive individuals with normal kidney function test with quantitative proteinuria and circadian blood pressure change",Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('F3hATj6pyppr3FTiuItZxw','dGucCqanJgluEabN5HM0Kg')"
632184,MEHMET UZUNOĞLU,2020,Çocuk kardiyoloji polikliniğine göğüs ağrısı ile gelen hastalarda etiyolojinin araştırılması ve anksiyete skorunun değerlendirilmesi<br><span style='font-style: italic';>Investigation of eti̇ology of chi̇ldren admi̇tted topedi̇atri̇c cardi̇ology cli̇ni̇c due to chest pai̇n andevaluati̇on of anxi̇ety scale,Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('MBt4oGzv2HiqSWQz6VkAlA','pqttKOpkjVjlr-MTH1RZYw')"
91290,MUSTAFA DEMİRCİ,1997,"Isparta yöresinde lyme hastalığı vektörleri ve seropozitifliğinin araştırılması<br><span style='font-style: italic';>Investigation of vectors and seropozitivite of lyme disease in Isparta region, Turkey",Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('6adyb4UCnjjyMTkzGwfv9A','6adyb4UCnjjyMTkzGwfv9A')"
91371,M. MUSTAFA KILIÇKAYA,1999,Kronik otitis mediada yapılan ossiküloplasti sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of ossiculoplasty results in chronic otitis media,Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('lLMkR8Ae4WMmCl_YXrt2gw','hv5pGZuiEeTkmE2h8akS9A')"
132366,HAKAN MOLLAOĞLU,2003,GSM 900 MHZ mobil telefonların oluşturduğu manyetik alanın etkisiyle ratlarda meydana gelen oksidatif değişiklikler üzerine melatoninin etkisi<br><span style='font-style: italic';>The effect of melatonin on GSM 900 MHZ mobile phones induced oxidative changes in rats,Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Fizyoloji = Physiology," onclick=tezDetay('itbSkiAc8VGd1PyoW0sTUw','_mq9HxbzeJcWsbOAgjNX0A')"
388747,BİLAL SARATAŞ,2015,Platelet rich plasma (PRP)\'nın nazal mukozada yara iyileşmesi üzerine etkisi<br><span style='font-style: italic';>Effects of platelet rich plasma (PRP) on wound healing in the nasal mucosa,Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('02IbwZV0e8m53sJPQDTeRQ','WQMB82lFLdfcTGWHtxdY8A')"
474060,İBRAHİM EROĞLU,2017,"2015-2016\' yılları arasında adli tıp anabilim dalında \'çalışma gücü ve meslekte kazanma gücü kaybı oranı tespit işlemleri yönetmeliği cetvelleri\' kullanılarak düzenlenmiş \'iş gücü kaybı (maluliyet)\' konulu rapor sonuçlarının \'özürlülük ölçütü, sınıflandırması ve özürlülere verilecek sağlık kurulu raporları hakkında yönetmeliğindeki özür oranları cetveli\' ile karşılaştırılması<br><span style='font-style: italic';>Comparison of the disability reports prepared using \'the scales of measurement of disabilities\' by department of forensic medicine of the suleyman demirel university medical faculty during 2015-2016 with \'the scale of disability rates.\'",Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('_bDHSO7YTCSpJsR1Oxp_7w','smdndVQXBruLVMIXsyCorA')"
99007,ATİKE ARICAN ADANA,2000,"Hiper ve hipotiroidili hastalarda MDA, SOD, GSH-PX ve katalaz düzeyleri<br><span style='font-style: italic';>The MDA, SOD, GSH-PX and catalase levels in hyper and hypothyroid patients",Süleyman Demirel Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry ; Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('5tZ29aBp30Bhmn8DPMqRuw','FW1A7pJQcc355C02z_sg5w')"
