tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
664419,SAFİYE AYAN,2020,Üniversite  hastanesine başvuran KOAH hastalarında       immünizasyon durumu ve etkileyen faktörler<br><span style='font-style: italic';>Immunization status and affecting factors in COPD patients apply to university hospital,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('w5XDcPfNPSxryKZda2XIXw','jovlopQ_mC86gP508O8AAA')"
523398,SEVDİYE ŞIVGIN,2018,Obezite cerrahisi geçiren hastalarda düşük akımlı anestezinin solunum fonksiyon testleri üzerine etkisi<br><span style='font-style: italic';>The effect of LOW flow anesthesia on respiratory function tests with undergoing obesity surgery patients,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('2bdIhQHtXziTIga86h7XQQ','MchK84Icb_TyyrhoU1bfdA')"
644232,ABUZER GÜLDEREN,2020,Kemik kırık uçlarında makro ve mikro elementlerin postmortem süreçte tespit edilebilirliği ve antemortem-postmortem kırık ayrımında kullanılabilirliğinin değerlendirilmesi<br><span style='font-style: italic';>Postmortem detectability of macro and micro elements on bone fracture ends and avaibility of distiction antemortem-postmortem fractures,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('U8IW6ZXupnfk-g2ATPe-Sg','0WYKkR6sU39CyNzFJC_jzQ')"
506804,GÖKHAN KARABULUT,2018,Tokat Gaziosmanpaşa Üniversitesi Tıp Fakültesi öğrencilerinin adli tıp eğitimi ve birinci basamakta adli tabip sorumluluğu hakkındaki farkındalıklarının  değerlendirilmesi<br><span style='font-style: italic';>Forensic medicine education of Tokat Gaziosmanpaşa University Medical School students and the evaluation of first stage forensic physician responsibility awareness,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('RM53ZcIDwx2gSrPZ80duSQ','vuQQWoRvFrRsQ-BUqMz8RA')"
565691,SONER SORHAN,2019,"Üniversite hastanesinde takip edilen mide ve kolorektal kanser tanılı hastalarda başvuru, tanı ve tedavi aşamalarındaki gecikme süresi ve etkileyen faktörler<br><span style='font-style: italic';>Delays in presentation, diagnosis and treatment stages and affecting factors of gastric and colorectal cancer patients followed by university hospital",Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health ; Onkoloji = Oncology," onclick=tezDetay('znb4hkV0oGaR5GUiqzguLw','dQh_4proVEOOoLVkD2aw0w')"
633694,SALİH RAHMAN CEYLAN,2020,Prostat kanserinin tanısında nötrofil-lenfosit oranı ve platelet-lenfosit oranının önemi<br><span style='font-style: italic';>Importance of netrophil-lymphocyte ratio and platelet-lymphocte ratio in the diagnosis of prostate cancer,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('jt2CHAlSeGrNAjWF6ppRAw','h99igkjjw_HtgHzWylsfMw')"
667199,SATİNUR ATEŞER KALKAN,2021,İnvaziv meme karsinomlarında moleküler sınıflandırma ile prognostik klinikopatolojik parametrelerin korelasyonu<br><span style='font-style: italic';>Correlation of prognostic clinicopathological parameters via molecular classification in invasive breast carcinomas,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('9Rn9M-pvqt1La2I3KJmnRg','cRUau3JH4-0Xg19NDdjRhg')"
717000,MÜMİNE GÖRMEZ,2021,Kolorektal karsinomalarda DNA yanlış eşleşme onarım genlerinin immünohistokimyasal yolla analizi<br><span style='font-style: italic';>Immunohistochemical analysis of dna mismatch repair genes in colorectal carcinomas,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('S7JGCoFB5dhu6id6K316ig','Flk15I0_IgymlvFe5pOhOw')"
645693,SEVGİ YILMAZ SAĞLAM,2020,Metastatik beyin kitlelerinin primerlerinin araştırılmasında difüzyon ağırlıklı manyetik rezonans görünütlemenin önemi<br><span style='font-style: italic';>The importance of diffusion-weighted magnetic resonance imaging in the research of the primers of metastatic brain masses,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('Px5ju5JcKhPMTLf1qCIuHA','dPLMg5kIx-x4Vx0bpfa5qg')"
644149,SELİM ADATEPE,2020,Sezaryen hastalarında post spinal baş ağrısı ile serebral oksijen saturasyonu arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between post spinal headach and cerebral oxygen saturation in caesarean patients,Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('vHPz__XnTpmIfBX58tJbIg','l9NVPCtv0htWsB4H246xAA')"
607502,OLCAYTO UYSAL,2019,"Sözel, yazılı ve görsel eğitim araçlarının hasta kontrollü analjezi cihazı kullanımına etkisi<br><span style='font-style: italic';>The impact of verbal, written and visual education materials on patient controlled analgesia device usage",Tokat Gaziosmanpaşa Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('4NRKtOQigtVDYCDlvVyxGw','vEjySoBDlC7L0pTOTuU0xQ')"
