tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
132297,CEYDA AKCİ KARADAĞ,2003,Ratlarda oluşturulan deneysel yanık iyileşmesinde lineer polarize polikromatik ışığın etkileri<br><span style='font-style: italic';>The effect of linear polarized polychromatic light on experimental burn healing in rats,Trakya Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('g07yz0PuxztEf42CukIPiA','6h7MskeTREPdWrB618hJFA')"
351195,TÜRKER ÇAVUŞ,2013,Kan basıncı ve hematokrit arasındaki ilişkiler<br><span style='font-style: italic';>Relationship between blood pressure and hematocrit levels,Trakya Üniversitesi,Tıpta Uzmanlık,Biyofizik = Biophysics ; Fizyopatoloji = Physiopathology," onclick=tezDetay('XVkjluUwYMAo0XyJrPcdYA','KHHZhSAkIhocNlTmXJr8-Q')"
91344,GAYE KAYA,2000,"Geriyatrik hastalarda sevofluran ve isofluranın hemodinami kan gazları ve derlenme üzerine etkileri ve karşılaştırılması<br><span style='font-style: italic';>The Effects of sevoflurane and isoflurane and hemodynami, blood gases and recovery and the comparison of these effects in geriatric patients",Trakya Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('o4xKnYEBBBYVcd4XPHBVsA','o4xKnYEBBBYVcd4XPHBVsA')"
195630,ZİHNİ AKTAŞ,2007,Koroner arter hastalarında serum homosistein düzeyi ile koroner kollateral dolaşım arasındaki ilişki<br><span style='font-style: italic';>Serum level of homocysteine is associated with the development of collateral circulation in patient with coronary artery disease,Trakya Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('oDTnVs4x1ABQHvJhTD8bnA','-BFiQ4IVaSv_xrxGRcaDww')"
340106,NURETTİN KARGI,1988,Depressif hastalarda amitriptilin\'in kalp ritmi ve ileti sistemi uzerine etkileri<br><span style='font-style: italic';>,Trakya Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('SRcDTWQ-0mHeXfpkyxNkvw','UKEUgImDa64K00dbM256tQ')"
483009,GÜVEN KIRAY,2017,Uzamış yoğun bakım yatışı üzerine etkili olan faktörlerin araştırılması<br><span style='font-style: italic';>Investigation of the factors affecting prolonged intensive care unit,Trakya Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('nKSN-OW34-mcdcXVBelBfQ','cQlECXD1jyd7Z-E-Aq4nmw')"
513656,NETİCE DAĞLAR,2018,Tıp fakültesi öğrencileri tıbbi bitkileri ne kadar tanıyor<br><span style='font-style: italic';>How much do the medical students know the medicinal plants,Trakya Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('P7WcSaxsKV5dwqgMKFU9yg','cKOmQq3-xRw9Mb9GO5dmfQ')"
464156,FATMA BAYAZIT,2017,Trakya Üniversitesi Sağlık Eğitim Merkezi Acil Servisine başvuran onkolojik hastaların depresyon durumlarının incelenmesi<br><span style='font-style: italic';>Investigation of depression of oncological patients applying to Trakya University Health Education Center Emergency Department,Trakya Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('xbNQIQxzfwVwfF8TGMVdzQ','l_m4TcZBibVuREOOHVuVvw')"
132386,MURAT HACIOĞLU,2003,Denizli İl merkezindeki erişkinlerde kronik bronşit prevalansı ve etkileyen risk faktörleri<br><span style='font-style: italic';>Prevalence of chronic bronchitis and risk factors in adults living in the centre of Denizli,Trakya Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('UgBKHC-7xipnQcNDAvpNZQ','9fsMimKtltSfzFRGPLiJdQ')"
340145,TÜRKAN AKSÖZ,1988,Verrukaların infraruj koagülatöru ile tedavisi<br><span style='font-style: italic';>.,Trakya Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('LkM3ooiPTyTa-CY82ZseUQ','VT3NsTPb7oMr-LjO1YynPQ')"
