tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
645712,AYVAZ YELER,2020,Van ili ve çevresindeki malign tümörlerin demografik özelliklerine göre dağılımının belirlenmesi<br><span style='font-style: italic';>Determination of distribution of malignant tumors in van province and its surrounding area according to demographic characteristics,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('qC3YC_fhON6HH4OdLNQrqg','MJGebuwWCstygSy3AOBLkw')"
655515,KAMİL CİNTAN,2020,Rinoplasti girişimlerinde kontrollü hipotansiyon için uygulanan nikardipin ve esmololün hemodinami ve rejyonal renal oksijenizasyon üzerine etkisi<br><span style='font-style: italic';>The effect of nicardipine and esmolol for controlled hypotension in rinoplasty nterventions on hemodynamics and regional renal oxygenization,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('c0V0enUF_eimFYnMUcmhOQ','my8W4om4poKuGbvZzSIRaw')"
664635,KÜBRA TATAR,2021,Sistemik konvansiyonel tedavi alan psoriyazis hastalarında probiyotik kullanımının tedaviye etkisinin klinik olarak değerlendirilmesi<br><span style='font-style: italic';>Clinical evaluation of the effect of using of probiotics  in patients with psorihiasis who receiving systemic conventional treatment,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('ZUL_9J7gsQa-zvUAf5dhKA','3YSJefDuwmVxZHEEvTBqHQ')"
632282,TAHSİN YILDIRIMÇAKAR,2020,İntravenöz trombolitik tedavi verilen akut iskemik inme hastalarında kan şekeri takibinin klinik sonuçlara etkisi<br><span style='font-style: italic';>The effect of blood glucose monitoring on clinical results in acute ischemic stroke patients with intravenous trombolitic treatment,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('oaRziLSx-2t-Re7eDtiJ-A','0TtQT6gsQHIf0zlRYPyxrA')"
503040,HALİL İBRAHİM AKBAY,2018,Klinik biyokimyada varyasyon: Biyolojik varyasyon<br><span style='font-style: italic';>Variation in clinical biochemistry; biological variation,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('NjkIyCHIwj9H9NVTC4bROQ','_h0SQFq-JfKOijqtrAZ2hw')"
544846,ALAADDİN SARIYAR,2019,"Van ilinde çalışan sağlık çalışanlarının çocuk istismarına yönelik bilgi, tutum ve davranışları<br><span style='font-style: italic';>Knowledge, attitude and behaviors of health workers working in van province about child abuse",Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('u1H_t-jtiahKLoGv2Rg8Wg','_glfGlQitnNJvA3it9A07g')"
665237,EMİNE AĞRAK,2021,Van Y.Y.Ü. Tıp Fakültesi\'nde ve Van Y.Y.Ü. Dursun Odabaş Tıp Merkezi\'nde eğitim alan uzmanlık ve tıp fakültesi öğrencilerinin geleneksel ve tamamlayıcı tıp hakkındaki bilgi ve tutumlarının karşılaştırılması<br><span style='font-style: italic';>Van Y.Y.Ü. at Faculty of Medicine and Van Y.Y.Ü. at Dursun Odabaş medical center comparasion of the knowledge and attitue the faculty of medicine resi̇dent physicians and the students of the faculty of medicine about traditional and complementary medicine,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('UuAQdG8Fjcgkl4SRV8eqXA','IsuEbn0c4wIzTJFdo3fJdA')"
688737,BURCU ÖZEN,2021,Ayak ve ayak bileği travması ile acil servise başvuran hastalarda tedavi seçeneklerinin X-ray ve bilgisayarlı tomografi sonuçlarına göre karşılaştırılması<br><span style='font-style: italic';>Comparison of the effects of X-ray and computed tomography results on treatment in patients admitted to the emergency department with foot and ankle trauma,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('KpLDpTg8up38QT9nwohyVg','TPnH07RNKy3_k6fwUIj0-g')"
709601,YASİN MAMİŞ,2021,Van ili ve ilçelerindeki özefagus kanseri olan hastaların demografik ve klinik verilere göre retrospektif olarak değerlendirilmesi<br><span style='font-style: italic';>Retrospective evaluation of patients with esophageal cancer in Van province and districts according to demographic and clinical data,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('7c46si63EMofXXIZTnrurQ','gNaCWaH0qgUalAKYVre5rw')"
540023,MUSTAFA GÖNEN,2019,Van ili aile sağlığı merkezlerinde ve toplum sağlığı merkezlerinde görev yapan sağlık çalışanlarının kanser tarama testleri hakkındaki bilgi düzeylerinin ve farkındalık durumlarının araştırılması<br><span style='font-style: italic';>Research of cancer screening test knowledge levels and awareness of healthcare workers who work in family health centers and community health centers in Van province,Van Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('vaX2KqdSz4s1MM4nMqhnFQ','MkLrr2ezGi4tpCbz1I8T8Q')"
