tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
507851,FERHAT DANIŞMAN,2018,İntraartiküler distal radius kırıkları cerrahi tedavi sonuçların radyografik değerlendirmesinin fonksiyonel sonuç analizi<br><span style='font-style: italic';>Functional result analysis of radiographic evaluation of intraarticular distal radius fractures results of surgical treatment,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('gjurGblor14v-F_Jz1Bubw','z_yGBRbx48O4iYHKwoteRg')"
502663,MURAT ÖZTÜRK,2018,"Liken planuslu hastalarda asitretin ve sistemik steroid  tedavisinin  Kİ-67, BCL-2 ve COX-2 düzeylerine etkisinin histopatolojik olarak değerlendirilmesi<br><span style='font-style: italic';>Histopathological evaluation of the effect of acitretin and systemic steroid treatment on COX-2, BCL-2 and kKI-67 levels in lichen planus",Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('KRywHJkqiaBXTT3w61Gx8A','E9v2nWtvkFPUkfz_vYf3nQ')"
132451,KÜRŞAT ÇEÇEN,2003,Çeşitli anatomik ve dinamik faktörlerin postprosta tektomik erken dönemde kontinans kazınımına etkisi<br><span style='font-style: italic';>,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('kVTQBQsGjiVUSA40Y3Kajw','vktuXdckSPxrDuf1wKxviQ')"
132208,FUAT SAYIR,2003,Özofagus kanserinin tedavisinde cerrahinin yeri<br><span style='font-style: italic';>,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('YanBXbEuyUCkJsmI2UQumw','SRFhSXhxKQKexEjWxI6zmg')"
156980,ARZU DURMUŞ,2004,Kliniğimizdeki travmatik kataraktlı olguların epidemiyolojisi ve görme prognozları<br><span style='font-style: italic';>The visual prognosis and epidemiology in the cases with traumatic cataracts,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('VArwLaCusmVSHSp3cG13YQ','xhQ0W0qu6IWK1mVtxa1p6Q')"
242058,YASİN MELEK,2009,Derin ven trombozunda günlük tek doz düşük molekül ağırlıklı heparin tedavisinin etkünliği<br><span style='font-style: italic';>The efficiency of using daily single dose of low molecular weight heparin threatment in out patient at the deep vein thrombosis,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('qUtYr57EtUNbB_NEymGDtg','eTY8psbG-U7dGDjB3xI7jA')"
466831,MURAT DEMİR,2017,Ürogenital travmalar: Son 5 yıllık deneyimlerimiz<br><span style='font-style: italic';>Urogenital traumas: experience of the last 5 years,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('igzxtZskdrGSDnfWULgUHQ','aa_WcEMxMaUTcjSV5t1skg')"
248003,MEHMET ATA GÖKALP,2010,Uzun kemiklerde kronik osteomiyelitin oluklaştırma ve kas flebi yerleştirme yöntemiyle tedavisi ve erken dönem klinik sonuçlarımız<br><span style='font-style: italic';>Use of muscle flap with a grooving procedure in the surgical treatment of chronic osteomiyelitis of the long bones,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('UOYx9XkpGMVZ0dz-TPd8IQ','Dta-NLkPKpDKADcrEE5sug')"
282186,MEHMET DENİZ BULUT,2011,Kolorektal karsinoma ile inflamatuar barsak hastalığının tanısında ve ayrımında difüzyon ağırlıklı manyetik rezonans görüntüleme incelemenin etkinliğinin araştırılması<br><span style='font-style: italic';>Study on the efficiency of diffusion-weighted magnetic resonance imaging technique in the diagnoses and differential diagnosis between colorectal carsinoma and inflammatory bowel disease,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('mv8HFrSA1OmVFGY6mGAojw','G8o_-KYBzd6Qb2NFsnSGHg')"
388552,SERCAN ÖZKAÇMAZ,2014,Görüntüleme kılavuzluğunda kemoterapi port implantasyonunun kısa ve uzun dönem komplikasyonlarının retrospektif analizi ve bu komplikasyonların yönetimi<br><span style='font-style: italic';>Retrospective analysis and management of early and late complications of imagining guided subcutaneous chemotherapy port implantation,Yüzüncü Yıl Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('aIa1P14UOXEZgFkwwpz1iA','VUwArWWzIKLTWGyc-Mj7tg')"
