tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
628100,AYÇA KOCAAĞA,2020,"NOD1, NOD2, PYDC1 VE PYDC2 genlerinin behçet hastalığı patogenezine etkisinin araştırılması<br><span style='font-style: italic';>Investigation of the effect of NOD1, NOD2, PYDC1 and PYDC2 genes in the pathogenesis of behçet\'s disease",Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Genetik = Genetics," onclick=tezDetay('jJBCAj8dsRS-PArAlqI1SA','EzlPT8ekxHdVMglRyXTuJA')"
597483,ESRA KOÇ,2018,Tip 2 Diabetes mellituslu olgularda komplikasyon gelişmesini etkileyen faktörler<br><span style='font-style: italic';>Factors affecting the development of complications in patients with type 2 Diabetes mellitus,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases ; Halk Sağlığı = Public Health," onclick=tezDetay('pru_glfXaGx_TICsxhwlOQ','UiZEDz414F1yyPAtYJBohQ')"
560852,BAŞAK EROL KARAGÖZOĞLU,2019,Diyaliz hastalarında eritropoetin tedavisinin nutrisyon parametreleri ile ilişkisi<br><span style='font-style: italic';>The relationship between erythropoietin therapy and nutritional parameters in dialysis patients,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Nefroloji = Nephrology," onclick=tezDetay('Kp1ge9VgMwlcjJpi0dzUvA','XHtyAChyTeCfw85ToNydsw')"
629858,IDRAK MAMMADOV,2020,İntramedüller çivi tespiti yapılan erişkin tibia cisim kırıklarında iyileşmeyi etkileyen faktörler<br><span style='font-style: italic';>Factors affecting the fracture healing in i̇ntramedullary fixation of adult tibial shaft fractures,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('zyc409p1tkYO9fCUkZGHAg','ROxCGhwcI5QBVO0wJLHyyw')"
632162,ECE KURT,2020,Helicobacter pylori eradikasyonunun nötrofil/lenfosit oranı üzerine etkisi<br><span style='font-style: italic';>Effect of helicobacter pylori eradication on neutrophil/lymphocyte ratio,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology ; İç Hastalıkları = Internal diseases," onclick=tezDetay('sYcmCCrXqo72zFSTSLc1ig','DYxCZlPYXmiX_Zdl83mTCQ')"
632495,HÜSEYİN ÖZTOPRAK,2020,Genel anestezi uygulamalarında farklı taze gaz akımlarında oksijenizasyonun oksijen rezerv indeksi ile değerlendilmesi<br><span style='font-style: italic';>Assessment of oxygenation with oxygen reserve index for different fresh gas flows in general anesthesia administration,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('xNJ2giepfRQub0ZDtc7h7g','-D1b8yEpBz9gupGuoZ2IBQ')"
632172,MEHMET ALİ SAY,2020,Presbiakuzi tanılı hastalarda vestibülersistem değerlendirilmesi<br><span style='font-style: italic';>Assessment of vestibular system in patients with presbycusis,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('vapseZfM6NGcBkcnr8ygog','J80C0RvhS0FPwQSo9k5WlQ')"
629936,GÜLSÜM BUSE TÜRKMEN,2019,"İnek sütü protein alejisi tanılı hastaların epidemiyolojik, laboratuvar ve klinik özelliklerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of epidemiological, laboratory and clinical features of patients with cow\'s milk protein allergy",Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('mb55VIZ6J9pQdfhnLpvQGQ','w_BsAgqPOWcHGBcxSTphsg')"
689288,ABDULLAH TAŞKIN,2021,Beden kitle indeksi 25 ve üstünde olan hastalarda bağlanma stillerine göre kaygı ve depresyon düzeylerinin ölçülmesi<br><span style='font-style: italic';>Measurement of anxiety and depression levels according to attachment styles in patients with body mass index 25 and above,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('z93G-mGTj9U6GWmeDqmnMg','IQJ7IxNk1Op7WW_znZcf1A')"
538852,AKIN SEZGİN,2019,Sıçan femur kırık modelinde traneksamik asit kullanımının kırık iyileşmesine etkisinin değerlendirilmesi: Deneysel çalışma<br><span style='font-style: italic';>Evaluation of the effects of tranexamic acid use on fracture healing in rat femur fracture model: An experimental study,Zonguldak Bülent Ecevit Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('RAjzp_P5GCI93o_FETzAcQ','sTnhgCnK7uxvfiRcFH13iQ')"
