tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
247455,SEDAT HAKİMOĞLU,2010,Metiltetrahidrofolat redüktaz gen mutasyonunda Azot Protoksit\'in B12 vitamini ve homosistein düzeyleri üzerine etkisi<br><span style='font-style: italic';>The effect of Nitrous oxide on vitamine B12 and homosistein levels in methyltetrahydrofolate reductase gene mutation,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('FYvFNPgF3w6OBNZyR-2eXg','gzk9BBwLnRYbMxMwqrAbHQ')"
303376,İBRAHİM BAŞARIR,2011,Kronik aktif hepatit b tanılı hastaların tedavi yanıtlarının değerlendirilmesi<br><span style='font-style: italic';>Assesement of treatment responses in patients with chronic active hepatitis b,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('nFIwsyK3eAWNx1kAE9fzRQ','DK1aB-SQzTTZDCoaZb7Xxg')"
225880,YASEMİN AKKOYUNLU,2008,Merkezi yoğun bakım ünitesinde yatan hastalarda nozokomiyal pnömoni gelişimine etki eden risk faktörleri<br><span style='font-style: italic';>Risk factors for nosocomial pneumonia developed in patients admitted to Central Intensive Care Unit (ICU),Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('XzwyyddRJSWazegxTK3xzg','e9KSJEBzlB92JOpjAvnMqg')"
272758,BURHAN ÇABUK,2011,Koroner ektazi saptanan hastalarda serum asimetrik dimetilarginin düzeylerinin değerlendirilmesi<br><span style='font-style: italic';>The assessment of serum asymmetric dimethylarginine levels in patients with coronary artery ectasy,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('L9xlvai09uJ4WOx36QVNhA','S-hf1-6WVbeO1OJwQ-PUVA')"
195033,FATİH ÇAM,2007,Konjestif kalp yetersizliği olan hastalarda doku doppler ekokardiyografi ile sistolik ve diyastolik dissenkroni tayini<br><span style='font-style: italic';>The assignment of systolic and diastolic dyssyncrony with tissue doppler echocardiography in the patients with congestive heart failure,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('auygDr_T-Jbtu9qeQMbzlw','My9iWd205vsmBTLWyTbLBA')"
297337,HASAN ULUBAŞOĞLU,2011,Tokolitik tedavi alan gebe kadınlarda tedavi etkinliğinin fetal ve maternal doppler ölçümleri ile değerlendirilmesi<br><span style='font-style: italic';>Evaluating the efficiency of tocolytic treatment in pregnant women with fetal and maternal doppler values,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('rIX5Oga5uGpUv792Ooohgg','9A7SIU4FhSGnl7_n1HZigQ')"
271845,MUHAMMET RAŞİT SAYIN,2010,Evre 1 hipertansiyonda nebivolol ve karvedilolün aortik elastisite üzerine etkilerinin karşılaştırılması<br><span style='font-style: italic';>The comparision of nebivolol and carvedilol?s influences on aortic elastic properties in patient with stage 1 hypertension,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('pRE5E_bW85Nz5k4Sx76PBA','1Vpd6KrDjaDdoW0p7tOS5w')"
156987,ATİLLA ALPAY,2005,"Pterjium tedavisinde çıplak sklera, mitomisin-C kullanımı, konjonktival flep kaydırma, konjonktival otogreftleme tekniklerinin karşılaştırılması<br><span style='font-style: italic';>The comparison of bare sclera, intraoperative mitomycin-C application, conjunctival flap reconstruction and conjunctival auto-grafting technique in the treatment of pterygium",Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('3J36o09GjOLVG_tA8et3YA','QuGOuC-g7VtiY_slZGBZKg')"
156922,MURAT CAN,2004,Travmaya maruz kalan hastalarda proteolitik ve iskemik değişikliklerin incelenmesi<br><span style='font-style: italic';>The evaluation of proteolytic and ischemic changes in patients exposure to trauma,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('mIsU617HwU52KLhpwpQI1w','gLulcKsbWbE7BuIn94WzWQ')"
303378,ÖZLEM ÖZCAN,2011,Proliferatif diyabetik retinopati etiyopatogenezinde adma (Asimetrik dimetilarjinin) nın rolü<br><span style='font-style: italic';>The role of asimetric dimetilarginin (ADMA) in etiopathogenesis of proliferative diabetic retinopathy,Zonguldak Karaelmas Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('tmMwAG3vxGgft0AGWeZ6kQ','ePSKkkrVnvJZBIaRocHPog')"
