tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
342036,HİCRAN YILDIZ ŞİMŞEK,2013,Yeni tanı almış kalp yetersizliği olgularında serum adiponektin ve TNF-α düzeylerinin prognostik önemi<br><span style='font-style: italic';>Prognostic significance of serum levels adiponectin and TNF-α in newly diagnosed cases with heart failure,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('bg6SAdJRlX8pNzVNUz3VCA','s8xjkEXVkx22a1YCe8tw7w')"
629210,OSMAN ONUR ÖZKAVAK,2020,"Hiperemezis gravidarumda serum ghrelin, obestatin, leptin ve motilin düzeyleri ve bunun helicobacter pylori ile olan ilişkisinin incelenmesi<br><span style='font-style: italic';>Studying serum ghrelin, obestatin, leptin and motilin levels in hyperemesis gravidarum and its relationship with h.pylori",Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('7rVZVMH0HVQ4fVR1AKT9dQ','wsJzHkv3RndtdAXWil5oEg')"
613063,ESRA YIRTAR,2019,Ülseratif kolit hastalık aktivitesi ile serumda bakılan 25-hidroksi vitamin D düzeyleri arasındaki ilişki<br><span style='font-style: italic';>The relationship between ulcerative colitis disease activity and serum 25-hydroxy vitamin D levels,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('dCT_806Sp-0UgEkSWO8bUw','RCjuX9oUVZq8hE1Q8HS7yg')"
324086,MUAMMER YILDIZ,2012,Kronik obstrüktif akciğer hastalığında anksiyete ve depresyon semptomlarının egzersiz performansı ve yaşam kalitesine etkisi<br><span style='font-style: italic';>Effect of symptoms of anxiety and depression on exercise performance and quality of life in chronic obstructive pulmonary disease,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('wNyacG_WRBfXr-dS4iOQ-w','OuJpAHbl25o12xo0VGZv8Q')"
673816,ÖZNUR YEŞİL,2021,Aile hekimliği polikliniğine başvuranlarda somatizasyon düzeyleri ve çocukluk çağı ruhsal travmaları arasındaki ilişki<br><span style='font-style: italic';>The relationship between somatization levels and childhood mental trauma in pati̇ent who admi̇tted to family medicine poli̇cli̇ni̇cs,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('8475VeVnquTiBLBZoN1SIw','BJWJaxZS49xxuoH1SRmopA')"
626959,MENEKŞE ÖZTÜRK,2020,ÇOMÜ Tıbbi Genetik Tanı Merkezi\'nde spinal musküler atrofi ön tanısı veya taşıyıcılığı açısından genotiplendirilen olguların SMN1/SMN2 genlerinin kopya sayılarının retrospektif analizi<br><span style='font-style: italic';>The retrospective analysis of SMN1/SNM2 copy numbers in sma pre-di̇agnosi̇s patients and in healthy controls tested at COMU medical genetics diagnosis center,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Genetik = Genetics ; Nöroloji = Neurology," onclick=tezDetay('PNSrRIPaVSlG_oDDb_eSAA','Iu9lYhlqIlKmAxNZyUjXog')"
551892,ÇİLER AÇAR YILDIZOĞLU,2019,Karma belirtili olan ve olmayan unipolar depresyon hastalarında oksidatif stres parametrelerinin karşılaştırılması<br><span style='font-style: italic';>Comparison of oxidative stress parameters in unipolar depression patients with and without mixed symptoms,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('DU-xDpqMEqtyR49qH_A1dA','99g-Q1ABWYLgGkVOBx_2ng')"
649534,ZEYNEP KARACA AYDOĞAN,2020,Tip 1 diyabetes mellituslu olguların tanı ve tedavilerinin retrospektif değerlendirilmesi<br><span style='font-style: italic';>A retrospective assessment of patients with diabetes mellitus TYPE 1 diagnosis and treatment,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('z8_71WNIW0VFMfwC7R5VRw','S5lL_v_rcV_NwNIQyNOLKw')"
385277,OKAN BARDAKCI,2015,Acil servise başvuran künt göğüs travmalı hastaların değerlendirilmesi<br><span style='font-style: italic';>Evaluation of blunt chest trauma patients admitted to the emergency department,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('RT9t0ef4bqir9pu1XezxLg','Lp2Bnyk08itEeqWDUSWNYw')"
453868,HATİCE SAYLAN,2017,Genel anestezi altındaki tavşanlarda sugammadeksin farklı dozlarının göz içi basıncına etkilerinin karşılaştırılması<br><span style='font-style: italic';>Comparision of the effects of sugammadex different doses on the eye pressure in rabbits under general anesthesia,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ZCc2aHojf7N2zufAbwMczw','_JrRLNgzDLKgCUiQ366qmw')"
479109,UMMAN MENENDİ,2017,Ratlarda karbojen ve hiperbarik oksijen uygulamasınının deneysel kırık modelinde kırık iyileşmesi üzerine etkisi<br><span style='font-style: italic';>The effect of carbogen and hyperbaric oxygen application on the fracture improvement in experimental fracture models in the rats,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('d86rRjNIiAImYno0SaiD4Q','4Hx6EL13-TcgS2nxhk_Oqg')"
479111,MİNE URFALI,2017,Kanserli hastalarda cell free dna ve tümör dokusundan telomer uzunluğu bakılması<br><span style='font-style: italic';>,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Genetik = Genetics ; Moleküler Tıp = Molecular Medicine ; Onkoloji = Oncology," onclick=tezDetay('u9x0MqsIKj0G7oAij1VekA','NAKLvHJVzMto6x1lz-S_KQ')"
661861,TOLGA KASAP,2021,Adolesanlarda internet bağımlılık ve riskini etkileyen faktörler ile prososyal davranışlar arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between prosocial behaviors and factors affecting internet dependency and risk in adolescents,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('JOOWErEJVLqKxfBkyLTVAw','QdSDWwW3_4gYIFoij2ykZw')"
703361,SERDAR AYDIN,2021,COVID-19 sebebiyle yoğun bakımda takip edilen hastalarda uygulanan pulse steroid tedavisinin etkinliğinin araştırılması<br><span style='font-style: italic';>Investigation of the efficiency of pulse steroid therapy applied to patients followed in intensive care unit due to COVID-19,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('8N_eKVUFZrfEFBA7E8_Lmg','uILBjxTTVnQ9kLSxhx3PHA')"
479115,BEKİR DOĞAN,2017,Cerrahi tedavi uygulanan parotis gland kitlelerinde preoperatif olarak yapılan ince iğne aspirasyon biyopsisi ve radyolojik yöntemlerin tanısal değerlerinin incelenmesi<br><span style='font-style: italic';>The diagnostic value of the fine needle aspiration biopsy (fnab) and radiologic methods  used in the evaluation of surgically treated parotid gland masses.,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('uv4aT5EDr399Je2BU-sr8g','iNIIgK48jsJClsI_kFLbjA')"
695588,YUSUF GÜZEL,2021,"Ailesel akdeniz ateşi tanılı hastalarda bukkal ve dil dorsum mukoza hücrelerin sitomorfometrik değerlendirilmesi ve serum amiloid A, C-reaktif protein, ınterlökin-6 ve lipoprotein-A düzeyleri ile ilişkisi<br><span style='font-style: italic';>Cytomorphometric evaluation of buccal and dorsum mucosa cells in patients with familial Mediterranean fever and their relationship with serum amyloid A, C-reactive protein, interleukin-6 and lipoprotein-A levels",Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ffKOv_2iqr0hD05Z56CXWA','hBiox7JkdmN1th58u1ZZOw')"
316875,OZAN BARUTÇU,2012,"Larenks kanserli hastalarda Ki-67, CerbB-2, E-kaderin ekspresyonları ve bu belirteçlerin klinik önemi<br><span style='font-style: italic';>Ki-67, CerbB-2, E-cadherin expressions in laryngeal cancer patients and the clinical significance of these biomarkers",Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('0JBGr8O8wOWu2ZHC9HLNng','uOlHSB7BwKLf6o7NJ9HKKA')"
705358,NESLİHAN DURAN,2022,COVID-19 pandemisi süresince sağlık çalışanlarında ikincil travmatizasyon ve tükenmişlik düzeyi ile ilişkili risk faktörlerinin değerlendirilmesi<br><span style='font-style: italic';>Analysis of the risk factors  related to the secondary traumatization and burnout i̇n healthcare  professionals during  COVID-19 pandemic,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('lpfAL8SI2qDZ-N7yPUFDRA','MM54K1PpacbMnqHKz4JNxA')"
385269,KAZIM TEKİN,2014,Timpanoplasti ameliyatlarında akustik rinometri ve rinomanometrinin prognostik değeri<br><span style='font-style: italic';>Prognostic value of acoustic rhinometry and rhinomanometry in tympanoplasty,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('1EeDW7ZdKxoAC6TLo61hCQ','tcnTboa8aU0nqRWbDe7EFw')"
479105,ÖZNUR KARAARSLAN KASAB,2017,"Rüptüre ve unrüptüre intrakranial anevrizmalardaki klinik, anatomik ve radyolojik korelasyonun değerlendirilmesi<br><span style='font-style: italic';>Assesment of clinical, anatomical and radiological correlation of ruptured and unruptured cerebral aneurysms",Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('6LNz9pixOsgbxnb-TZSEbw','jqZkmWhqPk6b_kSaKroOBg')"
551891,EMRAH YILDIZOĞLU,2019,Alkol kullanım bozukluğunda davranışsal endofenotip olarak dürtüsellik ve beyin yapısal özellikleriyle olan ilişkisi<br><span style='font-style: italic';>Impulsivity as A behavioral endophenotype in alcohol use disorder and its relationship with brain structural characteristics,Çanakkale Onsekiz Mart Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('zVAwQsrFVGHUFAe-dhKheg','RbdiWuWkhE2n85AK_7zRzQ')"
