tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
334248,GÜLNİHAL SAMANLIOĞLU,2013,Acil servise şok ön tanısıyla başvuran hastaların etyolojik açıdan değerlendirilmesi<br><span style='font-style: italic';>I?nvestigation of the patients etiology admitted to the emergency department with shock,Çukurova Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('s0C6Mh7Yfgq9u354jaNJMg','eYGLstlo09lraWPRULZkMQ')"
664959,SERKAN ARICAN,2021,Gebelik ve postpartum dönemde akut kritik şikayetle acil servise başvuran hastaların prospektif analizi<br><span style='font-style: italic';>Prospective analysis of the patients who applied to the emergency department with acute critical complaints during pregnancy and postpartum period,Çukurova Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('jeDofDe_R_YgIuTNDIhRxg','C8fop29KhxmzKPpDF6S1Vg')"
466558,EZGİ MAVİGÖK,2017,Uyku apne sendromlu hastalarda oküler bulgu ve parametreler<br><span style='font-style: italic';>Ocular findings and parameters in patients with sleep apnea syndrome,Çukurova Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('KsPpEktFlOyv_HIx0U3t4A','uwfdy6y-PKL9BDKxM31_-w')"
390734,ALVAN ASGAROVA,2015,Hepatosellüler  karsinom tedavisinde  küçük boyutlu doksorubisin yüklü mikrosferlerle transarteryel kemoembolizasyonun etkinliği<br><span style='font-style: italic';>Transarterial chemoembolization of hepatocelluler carcinoma with small doxorubicin-eluting beads,Çukurova Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('vOix6ESIGa9Xuuv81z9sCg','RplCg8R53TxnBVQgxQWt3g')"
657503,CEMİLE ARSLAN,2021,Hematolojik maligniteli hastalarda üst ve alt solunum yolu enfeksiyonlarında viral etkenlerin tespit edilmesi<br><span style='font-style: italic';>Detection of Viral Agents in Upper and Lower Respiratory Tract Infections in Patients with Hematological Malignancy,Çukurova Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology ; Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('b4mxvSJYfI_TNH_gO5-FjA','fIsnU1YAi0VCz_fdanvF2w')"
507529,BUĞRA KUNDAKÇI,2018,Humerus cisim kırıklarında minimal invaziv perkutan plak osteosentezin (MİPPO) radyolojik ve fonksiyonel sonuçları<br><span style='font-style: italic';>Minimal invasive percutaneous plate osteosynthesis (MIPPO) in humerus shaft fractures radiological and functional results,Çukurova Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('HaORKpqGxgYs5_-MNQT3IQ','7swJvjtsGSaNmT99ciI1cg')"
507645,MURAT YÜKSEL,2017,Koroner BY-PASs operasyonu yapılan hastaların preoperatif acef skoru ve euroscore\'larının postoperatif sonuçlarla karşılaştırılması<br><span style='font-style: italic';>Comparison of preoperative Age-creatine-ejection fraction score and european system for cardiac operative risk evaluation results of postoperative results of patients performing coronary by-pass operation,Çukurova Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('sscY8eC-E0cd9hJt7wBWCw','DaxMcsL07EOtJ3VVf1QcHQ')"
627726,BERİN BAYAT,2020,Endometriozis tanısı almış infertil kadınlarda D vitamini düzeyleri<br><span style='font-style: italic';>Vitamin D levels in infertile women with endometriosis,Çukurova Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('p9dzSZjRo8-2xRTp3maxKA','01q0dNZ7ywhk4a054gu58g')"
615990,NİHAL AYKUN,2020,Genel cerrahi anabilimdalında opere edilen hastaların postop sonuçlarının ve memnuniyet düzeylerinin cinsiyete göre karşılaştırılması<br><span style='font-style: italic';>Comparison of postop results and satisfaction levels of patients operated in general surgery department by gender,Çukurova Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('p3s45R6RpYD5FfKsrsjR9A','M1Vj63wsC1IVYKccAJH8bg')"
428433,YÜKSEL BAŞTÜRK,2014,Tüm düzeltme yapılan down sendromlu AVSD\'li olgularla down sendromlu olmayan avsd hastalarının postoperatif komplikasyonlarının karşılaştırılması<br><span style='font-style: italic';>The compari̇ssi̇on of compli̇cati̇ons between avsd pati̇ents wi̇th down syndrome versus avsd wi̇thout down syndrome,Çukurova Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('_y25Hd5FWcVNGQFDYlJXpQ','8Maf4yI9mD8o_zRe-ekJ5g')"
