tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
453781,TUBA EKMEKYAPAR,2017,"Fingolimod tedavisi alan multipl sklerozlu hastalarda total lökosit, nötrofil ve lenfosit düzeylerinin menstrual siklus ile ilişkisi<br><span style='font-style: italic';>The relationship between total leukocyte, neutrophil and lymphocyte levels with menstrual cyclus in multiple skelerosis with fingolimod therapy",İnönü Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('L845z34ZRXwKGJbu-EYrrQ','Xs2fbYsztZpa7elxQL9DnQ')"
565148,BENGÜ GÜRÜNLÜOĞLU,2019,"1999-2018 yılları arasında cinsiyet gelişim bozukluğu ile Çocuk Endokrinoloji Polikliniğine başvuran hastaların klinik, laboratuvar, radyolojik ve genetik açıdan değerlendirilmesi<br><span style='font-style: italic';>Clinical, laboratory, radiological and genetic evaluation of patients admitted to the Pediatric Endocrinology Polyclinic with gender development disorder between 1999 and 2018",İnönü Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('v9rFfCRawOOdTeSAd08tJA','nscqT5H60SA9Do18TGK9nA')"
247912,DURSUN TÜRKMEN,2010,Psoriasis hastalarında Helicobacter pylori enfeksiyonunun rolü<br><span style='font-style: italic';>The role of Helicobacter pylori enfection in psoriasis patients,İnönü Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('nnOVZ9vmU7TJonPn11oRnQ','ORoZeYIe8US6kFa2dKkvIA')"
689448,YASİN AKSİN,2021,"Sevofluran anestezisi altındaki tavşanlarda bupivakain ile oluşturulan siyatik sinir bloğuna insülinin klinik, elektrofizyolojik ve histopatolojik etkisi<br><span style='font-style: italic';>Clinical, electrophysiological and histopathological effect of insulin on the sciatic nerve block created with bupivacaine in rabbits under sevofluran anesthesia",İnönü Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('dnVMfBPXEZs_vR3s7fntlQ','w4nG_AiBp48xgDsf9OQ3gw')"
437519,SERHAT GÜNEY,2016,İnönü Üniversitesi acil servisine 5 yıl içerisinde başvuran zehirlenme vakalarının retrospektif incelenmesi<br><span style='font-style: italic';>Retrospective analysis of i̇ntoxication cases admitted to emergency department of İnonu Universityfor five years,İnönü Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('NdCXhKXjRPCFI6hb_MnoFw','ub8aEcf0re8dTB_e2hvoug')"
272766,MELEK TUNÇ,2011,Yüksek doz metilprednizolon alan akut trombositopenik hastalarda yüksek doz steroidin kardiyovasküler etkileri<br><span style='font-style: italic';>High dose methyprednisolone in patients with acute Immune Thrombocytopenic Purpura (ITP) cardiovascular effects of high dose steroid.,İnönü Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('FFlLfvbT-CTHSXtU_Tf0Rw','QVRY52KJuqCMSd_-kJJGTg')"
247867,MEHMET KELLEŞ,2010,Ankaferd kanama durdurucu\'nun epistaksis kontrolü üzerindeki etkisinin değerlendirilmesi (Deneysel çalışma)<br><span style='font-style: italic';>The evaluation of the effect of ankaferd blood stopper on controlling epistaxis (Experimental study),İnönü Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('VP_gcA9miz_LSfiYFSFlZA','sbcv8_TxWLfEf804dnTwEw')"
225099,ERDAL İN,2008,Ciddi alevlenme ile hastaneye yatırılan KOAH hastalarında venöz tromboembolizm; prevalans ve risk faktörleri<br><span style='font-style: italic';>Prevalence and risk factors of venous thromboembolism in chronic obstructive pulmonary disease patients who hospitalized with severe exacerbations,İnönü Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('G-3ZHCKa8pal4Elq7a_78w','tNhiD0X5480g3ZIrOWLQLA')"
247913,ALİ ŞENER,2010,Karaciğer Transplantasyonunda BIS kullanılarak fazlara göre anestezik ajan ihtiyacının belirlenmesi<br><span style='font-style: italic';>The determination of anaesthetic agent requirement with use of bispectral index in liver transplantation,İnönü Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('hjzcJNufep1y5evrqb9Qgg','LTnCX1-4Krwd0L9pFxyWhQ')"
195292,ONUR ÖZHAN,2007,Demir eksikliği anemisi olan kadınlarda serum çinko düzeyinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of serum zinc level in women with iron deficiency anemia.,İnönü Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('r-TRClw4CZtqizlV8f7AvQ','h4-Md5rMMxxeRFPdcaXk0g')"
