tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
838265,ÖMER AKIN,2021,Sosyodemografik özelliklerin ve çoklu ilaç kullanımının obezite tedavisi başarısına etkisi<br><span style='font-style: italic';>Effect of sociodemographic features and multiple drug use on obesity treatment,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('vhGMHjxLiULpapZPRTF10A','hFKDyMkM7Ry9gJbs5rNxsg')"
545854,BURCU BAKAR KAHRAMAN,2018,Psoriasis hastalarında psikolojik esneklik<br><span style='font-style: italic';>Psychological flexibility of psoriasis patients,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('cpdj_v2TxEy60q9zh18UJw','236dtZ2uhhe9l4ILX09hrQ')"
650322,HÜSEYİN GÖKHAN KARADAVUT,2020,Sigara içen ve içmeyen term gebelerin maternal ve fetal sonuçları<br><span style='font-style: italic';>Maternal and fetal results of smoking and non-smoking therm pregnancy,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('yKhYoLpx2rWosL9g0swG5A','FjhY_zpsgG46cyveDCYF4g')"
412003,ESMA DEMİRHAN,2009,Serebral palsili çocukların fonksiyonel durumlarının ve annelerinin psikolojik durumlarının değerlendirilmesi<br><span style='font-style: italic';>Assesment of functi̇onal status of the chi̇ldren wi̇th cerebral palsy and thei̇r mothers\' psychologi̇cal status,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('DPvFJeX1AV3VVpRGkMBpHg','ftK_I3iTfuWUjmz1LgMRWw')"
719232,CENGİZ ERTEKİN,2021,Sıçanlarda CSA-131 içeren hidrojelle kaplanmış silikon implant kullanımının biyofilm ve kapsül kontraktürü gelişimi üzerinde etkilerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the effects of CSA-131 - hydrogel coatedsilicone implants on the development of biofilm andcapsular contracture in rats,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('ZuAz0AE-m0pPpAdMmX22aQ','bADl545Qzm5KDkRxngnvgg')"
635512,LEVENT ÇOBAN,2020,Diyabetli hastalarda bütünlük duygusu ile glisemik kontrol arasındaki ilişkiyi incelemek<br><span style='font-style: italic';>The relationship between sense of coherence and glycemic control in diabetic patients\',İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('miu-Bcwy1E77Ni92xI3LpQ','YhNAY7B45Tr0PeSemX_VJw')"
559618,RECEP KAMİL KILIÇ,2017,Gebeliğinde sigara içen anne bebeklerinin ilk 24 saatteki myokardiyal performans indekslerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation myocardial performance indices in the infants born to smoking mothers during pregnancy,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('5vRz7aUCT6iR0WQqzkvT2w','Ke5YFEnEHWpy2IAFSmwsDQ')"
534282,ÖZGÜR ÖLMEZ,2019,Hastanemizde cerrahi işlemler öncesi veya polikliniklerde tarama amacıyla bakılan anti-HCV pozitif saptanan hastalarda uygulanmış tıbbi yaklaşımın incelenmesi<br><span style='font-style: italic';>The investigation of management strategies in patients with anti-HCV positive test performed for screening in patients applied to outpatient clinics or preoperative period,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('RRJHG08lc0oWXui3TwY_hA','L4JsfCNQq8hs37HawNJC6g')"
842157,ALİ OLGUN,2010,Primer pterjium cerrahi tedavisinde konjonktival otogrefti ve primer eksizyonun karşılaştırılması<br><span style='font-style: italic';>Comparison of conjunctival autograft and primary excision for the surgical treatment of primary pterygium,İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('lEfJsvNlHMBpxRt9K06Ucg','hyi_iyp-dQusg4T_6HBSqw')"
713779,HÜSEYİN ÖZGÜR KAZAN,2021,"Prostat kanserinde PDL-1 ekspresyonunun regulasyonunda, PI3K ve JAK/STAT yolaklarının etkisi ve prognostik rolü<br><span style='font-style: italic';>The effect of PI3K and JAK/STAT pathways on the regulation of PDL-1 expression and prognostic influence in prostate cancer",İstanbul Medeniyet Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('DUMYIaSOcDZizMPOS8NDhg','nZsdaEaHLXriIxwwTUlnoA')"
