tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
447287,AYSUN SARIBUĞA,2016,"Daha önce tedavi görmemiş HIV-pozitif hastalarda kullanılan antiretroviral tedavi  rejimlerinin virolojik yanıt, immünolojik yanıt ve istenmeyen etkiler açısından karşılaştırılması<br><span style='font-style: italic';>Comparison of antiretroviral therapy regimens in terms of virological response, immunological response and adverse effects in previously untreated HIV-positive patients",İstanbul Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('RYTX1ADUQmdNLTKCfNej-w','WHfvQA7JeaXv3HDxMyCZzw')"
324328,SÜLEYMAN BADEMLER,2012,Mide kanserinin prognozunda metastatik lenf nodu oranı (N-RATİO) tnm sınıflamasından bağımsız bir parametredir.<br><span style='font-style: italic';>The metastatic lymph-node ratio (N-RATİO)is a parameter independent of the tnm classification in the prognosis of gastric cancers,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('HU0LG7SlF63FbRgqhigvIA','1-FC9klCDU1dXYrEIIptTA')"
461615,HÜLYA DOĞAN TİRYAKİ,2017,Döküm ve metal kaplama işçilerinde fraksiyone ekshale nitrik oksit düzeylerinin solunum fonksiyon testi ile ilişkisinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between fractional exhaled nitric oxide levels and pulmonary function test among casting and metal coating workers,İstanbul Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('9_t7LSgNaSPTJgkW4SUhqQ','slRUUfhWzvgmpymM7MGSsg')"
499142,GULRUH ASHYRALYYEVA,2018,"Koroner by-pass cerrahisi geçiren hastalarda postoperatif akut böbrek hasarının tespitinde idrarda NGAL, mikroalbümin ve KIM-1 karşılaştırılması<br><span style='font-style: italic';>Comparison of urinary NGAL, ma and KIM-1 for prediction of acute kidney injury after coronary artery bypass surgery.",İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('19oIXNtVAMKBy_Lvvz5zsw','GXQtZYJlb5bejdLWJJU_Xg')"
508126,İDİL HASPALAMUTGİL,2018,Fetal dönemde maternal gestasyonel diyabete maruz kalan 3-6 yaş çocuklarda psikiyatrik bozukluk sıklığı ve psikiyatrik semptom şiddetinin değerlendirilmesi<br><span style='font-style: italic';>The evaluation of psychiatric disorder frequency and psychiatric symptom severity in 3-6 year old children exposed to maternal gestational diabetes during fetal period,İstanbul Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('s1d3XA0hP4_WfZtgPW7uFA','f_dn7r_i66Pdd4Hd1L3lVA')"
499024,HANİFE BİLGİLİ,2017,"Acil servise başvuran sepsis hastalarında sırs, sofa ve qsofa kriterlerinin karşılaştırılması<br><span style='font-style: italic';>Comparison between sirs criteria, sofa and qsofa scores of sepsis patients in emergency department",İstanbul Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('mnnAWIc4qSPvXiESuhrlug','s5x7yOLTrrfcrluHzH57fA')"
437551,ÖZNUR BÜLBÜL,2016,Psikoz için yüksek risk grubundaki bireylerde fonksiyonel manyetik rezonans görüntüleme bulgularının sağlıklı kontroller ile karşılaştırılması<br><span style='font-style: italic';>The comparison of functional magnetic resonance imaging findings in individuals with ultra high risk for psychosis and healthy controls,İstanbul Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('fQ322tSW24Wt5lNglpeWzg','mGGbMyc1ZBQDa1XwbUpYzA')"
519543,ULVIYYA ALAKBAROVA,2018,İntrauterin inseminasyon sonuçlarını etkileyen faktörler: Gelişen folikül sayısının gebelik olasılığına etkisi<br><span style='font-style: italic';>The factors affecting intrauterine insamination results: Effects of the growing follicules on the probability of pregnancy,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('FNiYds6_jkp6YdRPJbH2Rg','s33-2tdkpFE77b7biPbYgg')"
499028,DENİZ CAN ALİŞ,2017,Tek taraflı vezikoüreteral reflü olan çocukların shear wave elastografi ile değerlendirilmesi<br><span style='font-style: italic';>Tek tarafli vezi̇koüreteral reflü olan çocuklarin shear wave elastografi̇ i̇le değerlendi̇ri̇lmesi̇,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('8uLNVZcFb7yFNzuRGL6_xw','QIlCO4V0ox2IplNHP5kQ-w')"
497052,DENİZ ÜNLÜER KAPIŞKAY,2017,"Spitzoid morfolojide melanositik lezyonlarda RReB-1, MYB, CCND1 ve 9P21 (CDKN2A) gen  değişikliklerinin fısh yöntemi ile belirlenmesi ve prognoz-malignite ile ilişkisi<br><span style='font-style: italic';>Determination of the genetic changes of RREB-1, MYD, CCND1 and 9P21 (CDKN2A) in the melanocytic lesions in spitzoid morphology with the fish method and relationship with prognosis-malignancy",İstanbul Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('CI9rafhnWZg_gIf4erqj-Q','d5Ps6NWnBOL1tCAn9LU5wg')"
480998,HANDAN ÖZTÜRK,2017,Hiperbarik oksijen ile tedavi edilen radyoterapi ilişkisiz hemorajik sistit olgularının retrospektif değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Deniz ve Sualtı Hekimliği = Marine and Underwater Medicine ; Üroloji = Urology," onclick=tezDetay('y-98wVg3QzdQyIqZKGNTTg','-GE60riOKOCrLsawfmMocw')"
417141,ADEM ATICI,2016,Kısa atriyoventriküler süreli iki odacıklı kalp pili ile uyararak QRS süresini uzatmanın serum matriks metalloproteinaz-9 düzeyine etkisi<br><span style='font-style: italic';>Effect of QRS prolongation made bydual chamber pacing with short atrioventricular delay on serum matrix metalloproteinase-9 levels,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('56RypO2AxO-37M6CAE7BpA','YCZgCPlIlc07vPsBb2kXmQ')"
