tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
434638,ALTAY İLDAN,2016,"Skuamöz hücreli baş ve boyun tümörlerinde 1 günlük dosetaksel, sisplatin ve 5-fluorourasil tedavisinin etkinliğinin değerlendirilmesi<br><span style='font-style: italic';>Efficacy of one day docetaxel, cisplatġn and 5-fluorouracil regimen in patients with the head and neck cancer",İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('igAokwJE52RTluG6yCXxqw','pnFhe1oNwMZ14Oj3CsRhlg')"
447442,TAHİR ÖZTÜRK,2016,Erişkinlerde radius distal uç kırıklarında anatomik volar kilitli plak ile tedavi sonuçlarımız<br><span style='font-style: italic';>Results of surgical treatment of distal radius fractures with anatomic volar locking plate in adults,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('gRO_kNMEXfDjrTfbdlYljg','IQblAN3JlR5qq4xlP-KGfg')"
554943,NAGİHAN AKKAŞ,2019,Kronik böbrek yetmezliği olan hastalarda akut pankreatitin etyolojisi ve klinik seyri<br><span style='font-style: italic';>Etiology and clinical course of acute pancreatitis in patients with chronic renal failure,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('_ayEngZSDUFoeG1XyYsUxw','mvw1aMOSwS8psESPckE3MQ')"
484626,BERKER ŞEKER,2017,Diyabet tanısı olan ve olmayan hastaların mean platelet volum MPV) açısından değerlendirilmesi<br><span style='font-style: italic';>Evaluation of mean platelet volume (MPV) for diabetic and non diabetic patients,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine ; Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('WRrQ3F-c_A8QUiuYxcvGrA','dBAxtIU53XfnEpDSGF8WsA')"
546225,ALİ ZEYNETTİN,2019,Akut pankreatit vakalarında şiddetin belirlenmesinde prokalsitonin değeri<br><span style='font-style: italic';>The value of procalsiton in determining violence in acute pancreatitis cases,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('78DfHtHsiVQxsr85HmIgww','frD3xbBmIEZLs0GxuJxExg')"
907179,NESLİHAN METE ATASEVER,2018,"Yenidoğan döneminde levetirasetam veya fenobarbital başlanan olguların etkinlik, yan etki ve nörogelişimsel açıdan karşılaştırılması<br><span style='font-style: italic';>Efficacy, safety and neurodevelopmental comparisons of levetiracetam or phenobarbital initiated cases in newborn period",İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('kgxIyQaKNiXcWqDOCaLaNA','RKziurp0SgXu3vFvHZsZIQ')"
652382,UMUR SUADİYE,2020,Acil servise başvuran covid-19 tanısı almış hastaların kan grupları ile bilgisayarlı tomografileri arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between blood groups and computerized tomography of patients with covid-19 diagnosis admitting to emergency service,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Sağlık Eğitimi = Health Education," onclick=tezDetay('Mr0EdqTwGqYthkbqDWAj4w','pXTzK0N4I4SkXpymzFYlEA')"
625849,MELTEM İZCİ KASAL,2020,"Obsesif kompulsif bozukluk hastaları, etkilenmemiş kardeşleri ve kontrol grubunda amaca yönelik kontrol eksikliklerinin saptanması<br><span style='font-style: italic';>Deficits in goal directed control in obsessive compulsive disorder, unaffected siblings and control group",İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('hMhixDZLB9deuhzmLuHhUg','5eaFMB3afv2pPq3Pzuw3Iw')"
685248,NUKHET BURÇEM BORAN,2021,Acil servise intakranial hemoraji ile başvuran hastalarda mortalite ve morbiditelerinin değerlendirilmesinde bilgisayarlı beyin tomografisi ile ölçülen optik sinir kılıfı çapının tanısal değeri<br><span style='font-style: italic';>Diagnostic value of optic nerve sheath diameter measured by computerized brain tomography in the evaluation of mortality and morbidity in patients admitted to the emergency department with intracranial hemorrhage,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('Fuh4DeHe02FsNOFeOg1MTQ','x5mApFMXuw_3gN3pvynxZQ')"
634907,ARİF KARAGÖZ,2013,Nontravmatik akut karın ağrısı nedeni ile acil servise başvuran hastaların retrospektif analizi<br><span style='font-style: italic';>Retrospective analysis of the patients that admitted to emergency department with acute abdominal pain,İzmir Katip Çelebi Üniversitesi,Tıpta Uzmanlık,İlk ve Acil Yardım = Emergency and First Aid," onclick=tezDetay('ZRrMVuj6dTsV5UC-BImJlQ','MCHmk20kTXeAejfAf6WiPw')"
